name,library_layout,is_tumor,matched_normal
SRR3088188,paired,1,SRR3088189
SRR3088189,paired,0,SRR3088189
SRR3088191,paired,1,SRR3088189
SRR3088193,paired,1,SRR3088194
SRR3088194,paired,0,SRR3088194
SRR3088196,paired,1,SRR3088194
SRR3088202,paired,1,SRR3088203
SRR3088203,paired,0,SRR3088203
SRR3088205,paired,1,SRR3088203
SRR3088207,paired,1,SRR3088208
SRR3088208,paired,0,SRR3088208
SRR3088210,paired,1,SRR3088208
SRR3088212,paired,1,SRR3088213
SRR3088213,paired,0,SRR3088213
SRR3088215,paired,1,SRR3088213
SRR3088217,paired,1,SRR3088218
SRR3088218,paired,0,SRR3088218
SRR3088220,paired,1,SRR3088218
SRR3088222,paired,1,SRR3088223
SRR3088223,paired,0,SRR3088223
SRR3088225,paired,1,SRR3088223
SRR3088227,paired,1,SRR3088228
SRR3088228,paired,0,SRR3088228
SRR3088230,paired,1,SRR3088228
SRR3088232,paired,1,SRR3088233
SRR3088233,paired,0,SRR3088233
SRR3088235,paired,1,SRR3088233
SRR3088242,paired,1,SRR3088243
SRR3088243,paired,0,SRR3088243
SRR3088245,paired,1,SRR3088243
SRR3088249,paired,1,SRR3088250
SRR3088250,paired,0,SRR3088250
SRR3088252,paired,1,SRR3088250
SRR3088254,paired,1,SRR3088255
SRR3088255,paired,0,SRR3088255
SRR3088257,paired,1,SRR3088255
SRR3088259,paired,1,SRR3088260
SRR3088260,paired,0,SRR3088260
SRR3088262,paired,1,SRR3088260
SRR3088264,paired,1,SRR3088265
SRR3088265,paired,0,SRR3088265
SRR3088267,paired,1,SRR3088265
SRR3088269,paired,1,SRR3088270
SRR3088270,paired,0,SRR3088270
SRR3088272,paired,1,SRR3088270
SRR3088274,paired,1,SRR3088275
SRR3088275,paired,0,SRR3088275
SRR3088277,paired,1,SRR3088275
SRR3088279,paired,1,SRR3088280
SRR3088280,paired,0,SRR3088280
SRR3088282,paired,1,SRR3088280
SRR3088284,paired,1,SRR3088285
SRR3088285,paired,0,SRR3088285
SRR3088287,paired,1,SRR3088285
SRR3088289,paired,1,SRR3088290
SRR3088290,paired,0,SRR3088290
SRR3088292,paired,1,SRR3088290
SRR3088294,paired,1,SRR3088295
SRR3088295,paired,0,SRR3088295
SRR3088297,paired,1,SRR3088295
SRR3088299,paired,1,SRR3088300
SRR3088300,paired,0,SRR3088300
SRR3088302,paired,1,SRR3088300
SRR3088304,paired,1,SRR3088305
SRR3088305,paired,0,SRR3088305
SRR3088307,paired,1,SRR3088305
SRR3088309,paired,1,SRR3088310
SRR3088310,paired,0,SRR3088310
SRR3088312,paired,1,SRR3088310
SRR3088314,paired,1,SRR3088315
SRR3088315,paired,0,SRR3088315
SRR3088317,paired,1,SRR3088315
SRR3088319,paired,1,SRR3088320
SRR3088320,paired,0,SRR3088320
SRR3088322,paired,1,SRR3088320
SRR3088325,paired,1,SRR3088326
SRR3088326,single,0,SRR3088326
SRR3088329,paired,1,SRR3088326
SRR3088331,paired,1,SRR3088332
SRR3088332,paired,0,SRR3088332
SRR3088334,paired,1,SRR3088332
SRR3088336,paired,1,SRR3088337
SRR3088337,single,0,SRR3088337
SRR3088339,paired,1,SRR3088337
SRR3088341,paired,1,SRR3088342
SRR3088342,paired,0,SRR3088342
SRR3088344,paired,1,SRR3088342
SRR3088351,paired,1,SRR3088352
SRR3088352,paired,0,SRR3088352
SRR3088355,paired,1,SRR3088352
SRR3088358,paired,1,SRR3088359
SRR3088359,paired,0,SRR3088359
SRR3088362,paired,1,SRR3088359
SRR3088364,paired,1,SRR3088365
SRR3088365,paired,0,SRR3088365
SRR3088367,paired,1,SRR3088365
SRR3088369,paired,1,SRR3088370
SRR3088370,paired,0,SRR3088370
SRR3088372,paired,1,SRR3088370
SRR3088376,paired,1,SRR3088377
SRR3088377,paired,0,SRR3088377
SRR3088379,paired,1,SRR3088377
SRR3088381,paired,1,SRR3088382
SRR3088382,paired,0,SRR3088382
SRR3088384,paired,1,SRR3088382
SRR3088386,paired,1,SRR3088387
SRR3088387,paired,0,SRR3088387
SRR3088389,paired,1,SRR3088387
SRR3088392,paired,1,SRR3088393
SRR3088393,paired,0,SRR3088393
SRR3088396,paired,1,SRR3088393
SRR3088404,paired,1,SRR3088405
SRR3088405,paired,0,SRR3088405
SRR3088407,paired,1,SRR3088405
SRR3088411,paired,1,SRR3088412
SRR3088412,paired,0,SRR3088412
SRR3088414,paired,1,SRR3088412
SRR3088418,paired,1,SRR3088419
SRR3088419,paired,0,SRR3088419
SRR3088421,paired,1,SRR3088419
SRR3088424,paired,1,SRR3088425
SRR3088425,paired,0,SRR3088425
SRR3088428,paired,1,SRR3088425
SRR3088434,paired,1,SRR3088435
SRR3088435,paired,0,SRR3088435
SRR3088437,paired,1,SRR3088435
SRR3088439,paired,1,SRR3088440
SRR3088440,paired,0,SRR3088440
SRR3088442,paired,1,SRR3088440
SRR3088445,paired,1,SRR3088446
SRR3088446,paired,0,SRR3088446
SRR3088449,paired,1,SRR3088446
SRR3088565,paired,1,SRR3088566
SRR3088566,paired,0,SRR3088566
SRR3088569,paired,1,SRR3088566
SRR3088573,single,1,SRR3088574
SRR3088574,single,0,SRR3088574
SRR3088576,single,1,SRR3088574
SRR3088585,paired,1,SRR3088586
SRR3088586,paired,0,SRR3088586
SRR3088589,paired,1,SRR3088586
