name,library_layout
SRR3088592,single
SRR3088593,single
SRR3088594,single
SRR3088595,single
SRR3088596,single
SRR3088597,single
SRR3088598,single
SRR3088599,single
SRR3088600,single
SRR3088601,single
SRR3088602,single
SRR3088603,single
SRR3088604,single
SRR3088605,single
SRR3088187,single
SRR3088190,single
SRR3088192,single
SRR3088195,single
SRR3088201,single
SRR3088204,single
SRR3088206,single
SRR3088209,single
SRR3088211,single
SRR3088214,single
SRR3088216,single
SRR3088219,single
SRR3088221,single
SRR3088224,single
SRR3088226,single
SRR3088229,single
SRR3088231,single
SRR3088234,single
SRR3088241,single
SRR3088244,single
SRR3088248,single
SRR3088251,single
SRR3088253,single
SRR3088256,single
SRR3088258,single
SRR3088261,single
SRR3088263,single
SRR3088266,single
SRR3088268,single
SRR3088271,single
SRR3088273,single
SRR3088276,single
SRR3088278,single
SRR3088281,single
SRR3088283,single
SRR3088286,single
SRR3088288,single
SRR3088291,single
SRR3088293,single
SRR3088296,single
SRR3088298,single
SRR3088301,single
SRR3088303,single
SRR3088306,single
SRR3088308,single
SRR3088311,single
SRR3088313,single
SRR3088316,single
SRR3088318,single
SRR3088321,single
SRR3088323,single
SRR3088327,single
SRR3088330,single
SRR3088333,single
SRR3088335,single
SRR3088338,single
SRR3088340,single
SRR3088343,single
SRR3088349,single
SRR3088353,single
SRR3088356,single
SRR3088360,single
SRR3088363,single
SRR3088366,single
SRR3088368,single
SRR3088371,single
SRR3088375,single
SRR3088378,single
SRR3088380,single
SRR3088383,single
SRR3088385,single
SRR3088388,single
SRR3088390,single
SRR3088394,single
SRR3088403,single
SRR3088406,single
SRR3088410,single
SRR3088413,single
SRR3088417,single
SRR3088420,single
SRR3088422,single
SRR3088426,single
SRR3088433,single
SRR3088436,single
SRR3088438,single
SRR3088441,single
SRR3088443,single
SRR3088447,single
SRR3088563,single
SRR3088567,single
SRR3088572,single
SRR3088575,single
SRR3088583,single
SRR3088587,single
