name,library_layout
SRR3088034,PAIRED
SRR3088036,PAIRED
SRR3088058,PAIRED
SRR3088060,PAIRED
SRR3088086,PAIRED
SRR3088088,PAIRED
SRR3088096,PAIRED
SRR3088098,PAIRED
SRR3088130,PAIRED
SRR3088132,PAIRED
SRR3088136,PAIRED
SRR3088138,PAIRED
SRR3088154,PAIRED
SRR3088156,PAIRED
SRR3088166,PAIRED
SRR3088168,PAIRED
SRR3088357,PAIRED
SRR3088361,PAIRED
SRR3088398,PAIRED
SRR3088423,PAIRED
SRR3088430,PAIRED
SRR3088432,PAIRED
SRR3088444,PAIRED
SRR3088448,PAIRED
SRR3088564,PAIRED
SRR3088324,PAIRED
SRR3088328,PAIRED
SRR3088346,PAIRED
SRR3088348,PAIRED
SRR3088350,PAIRED
SRR3088354,PAIRED
SRR3088391,PAIRED
SRR3088395,PAIRED
SRR3088400,PAIRED
SRR3088427,PAIRED
SRR3088568,PAIRED
SRR3088584,PAIRED
SRR3088588,PAIRED
SRR15674493,PAIRED
SRR15674422,PAIRED
SRR15674423,PAIRED
SRR15674425,PAIRED
SRR15674426,PAIRED
SRR15674427,PAIRED
SRR15674428,PAIRED
SRR15674430,PAIRED
SRR15674431,PAIRED
SRR15674432,PAIRED
SRR15674434,PAIRED
SRR15674436,PAIRED
SRR15674437,PAIRED
SRR15674439,PAIRED
SRR15674442,PAIRED
SRR15674444,PAIRED
SRR15674445,PAIRED
SRR15674446,PAIRED
SRR15674448,PAIRED
SRR15674450,PAIRED
SRR15674451,PAIRED
SRR15674453,PAIRED
SRR15674454,PAIRED
SRR15674456,PAIRED
SRR15674459,PAIRED
SRR15674461,PAIRED
SRR15674462,PAIRED
SRR15674463,PAIRED
SRR15674467,PAIRED
SRR15674468,PAIRED
SRR15674469,PAIRED
SRR15674472,PAIRED
SRR15674475,PAIRED
SRR15674477,PAIRED
SRR15674479,PAIRED
SRR15674480,PAIRED
SRR15674482,PAIRED
SRR15674487,PAIRED
SRR15674489,PAIRED
SRR15674492,PAIRED
SRR15674498,PAIRED
SRR15674503,PAIRED
SRR15674505,PAIRED
SRR15674507,PAIRED
SRR15674509,PAIRED
SRR15674511,PAIRED
SRR15674512,PAIRED
SRR15674514,PAIRED
SRR15674516,PAIRED
SRR15674518,PAIRED
SRR15674521,PAIRED
SRR15674522,PAIRED
SRR15674421,PAIRED
SRR15674424,PAIRED
SRR15674429,PAIRED
SRR15674433,PAIRED
SRR15674435,PAIRED
SRR15674438,PAIRED
SRR15674440,PAIRED
SRR15674441,PAIRED
SRR15674443,PAIRED
SRR15674447,PAIRED
SRR15674449,PAIRED
SRR15674452,PAIRED
SRR15674455,PAIRED
SRR15674457,PAIRED
SRR15674458,PAIRED
SRR15674460,PAIRED
SRR15674464,PAIRED
SRR15674465,PAIRED
SRR15674466,PAIRED
SRR15674470,PAIRED
SRR15674471,PAIRED
SRR15674473,PAIRED
SRR15674474,PAIRED
SRR15674476,PAIRED
SRR15674478,PAIRED
SRR15674481,PAIRED
SRR15674483,PAIRED
SRR15674484,PAIRED
SRR15674485,PAIRED
SRR15674486,PAIRED
SRR15674488,PAIRED
SRR15674490,PAIRED
SRR15674491,PAIRED
SRR15674494,PAIRED
SRR15674495,PAIRED
SRR15674496,PAIRED
SRR15674497,PAIRED
SRR15674499,PAIRED
SRR15674500,PAIRED
SRR15674501,PAIRED
SRR15674502,PAIRED
SRR15674504,PAIRED
SRR15674506,PAIRED
SRR15674508,PAIRED
SRR15674510,PAIRED
SRR15674513,PAIRED
SRR15674515,PAIRED
SRR15674517,PAIRED
SRR15674519,PAIRED
SRR15674520,PAIRED
