status,distance_bin,beta
INS,"(-3000.0, -2970.0]",0.5393222235522721
INS,"(-2970.0, -2940.0]",0.600107299402838
INS,"(-2940.0, -2910.0]",0.46873282636070873
INS,"(-2910.0, -2880.0]",0.5093891567279696
INS,"(-2880.0, -2850.0]",0.5256859509204241
INS,"(-2850.0, -2820.0]",0.5543966438217335
INS,"(-2820.0, -2790.0]",0.5219014300122992
INS,"(-2790.0, -2760.0]",0.5235657806463868
INS,"(-2760.0, -2730.0]",0.5394035448961142
INS,"(-2730.0, -2700.0]",0.5275212407493544
INS,"(-2700.0, -2670.0]",0.4902210707538269
INS,"(-2670.0, -2640.0]",0.5187872757915754
INS,"(-2640.0, -2610.0]",0.495044267162698
INS,"(-2610.0, -2580.0]",0.5029863593070074
INS,"(-2580.0, -2550.0]",0.5087837972377013
INS,"(-2550.0, -2520.0]",0.4766316235410752
INS,"(-2520.0, -2490.0]",0.44387274157279183
INS,"(-2490.0, -2460.0]",0.4984394001898527
INS,"(-2460.0, -2430.0]",0.42901207263999935
INS,"(-2430.0, -2400.0]",0.44449768065327927
INS,"(-2400.0, -2370.0]",0.415017496534754
INS,"(-2370.0, -2340.0]",0.4232307464511611
INS,"(-2340.0, -2310.0]",0.377640077972508
INS,"(-2310.0, -2280.0]",0.4423722565898475
INS,"(-2280.0, -2250.0]",0.3915198953984862
INS,"(-2250.0, -2220.0]",0.43780602119082135
INS,"(-2220.0, -2190.0]",0.4246822195204678
INS,"(-2190.0, -2160.0]",0.4445983828015877
INS,"(-2160.0, -2130.0]",0.38352092678861827
INS,"(-2130.0, -2100.0]",0.38379230473307757
INS,"(-2100.0, -2070.0]",0.3706369299358022
INS,"(-2070.0, -2040.0]",0.3963399982134617
INS,"(-2040.0, -2010.0]",0.3759936579401532
INS,"(-2010.0, -1980.0]",0.3911001615211622
INS,"(-1980.0, -1950.0]",0.3616407209848481
INS,"(-1950.0, -1920.0]",0.369714388861687
INS,"(-1920.0, -1890.0]",0.3339823797700487
INS,"(-1890.0, -1860.0]",0.3642215509021102
INS,"(-1860.0, -1830.0]",0.3420042660899658
INS,"(-1830.0, -1800.0]",0.2863194288907979
INS,"(-1800.0, -1770.0]",0.3260622079092907
INS,"(-1770.0, -1740.0]",0.32661727175855637
INS,"(-1740.0, -1710.0]",0.3197492756013385
INS,"(-1710.0, -1680.0]",0.3197756048766353
INS,"(-1680.0, -1650.0]",0.33239003229281827
INS,"(-1650.0, -1620.0]",0.30436995484666945
INS,"(-1620.0, -1590.0]",0.2974907646330134
INS,"(-1590.0, -1560.0]",0.32226774118378815
INS,"(-1560.0, -1530.0]",0.29282911528521594
INS,"(-1530.0, -1500.0]",0.26981917459373284
INS,"(-1500.0, -1470.0]",0.2769667158064976
INS,"(-1470.0, -1440.0]",0.26760688118012477
INS,"(-1440.0, -1410.0]",0.24984556082513812
INS,"(-1410.0, -1380.0]",0.25007845694882125
INS,"(-1380.0, -1350.0]",0.24194737164170335
INS,"(-1350.0, -1320.0]",0.24375956304955096
INS,"(-1320.0, -1290.0]",0.2526368217868363
INS,"(-1290.0, -1260.0]",0.23944089287079715
INS,"(-1260.0, -1230.0]",0.23202617962823258
INS,"(-1230.0, -1200.0]",0.2287189484414736
INS,"(-1200.0, -1170.0]",0.21740195885927033
INS,"(-1170.0, -1140.0]",0.22353808460736208
INS,"(-1140.0, -1110.0]",0.21280157764378135
INS,"(-1110.0, -1080.0]",0.20835424984162368
INS,"(-1080.0, -1050.0]",0.20919602105282217
INS,"(-1050.0, -1020.0]",0.19986973234161798
INS,"(-1020.0, -990.0]",0.17991239380578303
INS,"(-990.0, -960.0]",0.1862208381067162
INS,"(-960.0, -930.0]",0.19004268608436586
INS,"(-930.0, -900.0]",0.2004848771819719
INS,"(-900.0, -870.0]",0.19753182750907894
INS,"(-870.0, -840.0]",0.18498900142015146
INS,"(-840.0, -810.0]",0.17760307463342287
INS,"(-810.0, -780.0]",0.18813522120675538
INS,"(-780.0, -750.0]",0.18814575701677452
INS,"(-750.0, -720.0]",0.18123016584931104
INS,"(-720.0, -690.0]",0.18368250417597842
INS,"(-690.0, -660.0]",0.18736920136187094
INS,"(-660.0, -630.0]",0.18330629492155834
INS,"(-630.0, -600.0]",0.18637158278051996
INS,"(-600.0, -570.0]",0.17818325699289436
INS,"(-570.0, -540.0]",0.1858384562334463
INS,"(-540.0, -510.0]",0.17540998536673968
INS,"(-510.0, -480.0]",0.17174353697421268
