cpd_conc_umol,bsub_value,cell_line,ctrp_experiment_id,baseline,drug
0.0081,1.0233809988150435,HEL9217,700,0.1195,RG108
0.016,1.070701960650996,HEL9217,700,0.1195,RG108
0.032,1.056284178916607,HEL9217,700,0.1195,RG108
0.065,1.02039369517679,HEL9217,700,0.1195,RG108
0.13,1.0322229324362553,HEL9217,700,0.1195,RG108
0.26,1.041524730581675,HEL9217,700,0.1195,RG108
0.52,1.0458389720301935,HEL9217,700,0.1195,RG108
1.0,1.0205497848016343,HEL9217,700,0.1195,RG108
2.1,1.0439391066959745,HEL9217,700,0.1195,RG108
4.2,1.0357773120754212,HEL9217,700,0.1195,RG108
8.3,1.0396015141048658,HEL9217,700,0.1195,RG108
17.0,0.9654750452934282,HEL9217,700,0.1195,RG108
33.0,0.25568137989715445,HEL9217,700,0.1195,RG108
66.0,0.3666996673629377,HEL9217,700,0.1195,RG108
130.0,0.18518615283869083,HEL9217,700,0.1195,RG108
270.0,0.045162610059998665,HEL9217,700,0.1195,RG108
0.0081,1.012099294761042,THP1,387,0.1195,RG108
0.016,1.0823829566402534,THP1,387,0.1195,RG108
0.032,0.9815826108783096,THP1,387,0.1195,RG108
0.065,1.0459089670249067,THP1,387,0.1195,RG108
0.13,1.0059860225871118,THP1,387,0.1195,RG108
0.26,0.9224930228081218,THP1,387,0.1195,RG108
0.52,0.9993123308056765,THP1,387,0.1195,RG108
1.0,0.9381783589732868,THP1,387,0.1195,RG108
2.1,0.9613555111340372,THP1,387,0.1195,RG108
4.2,0.9239127544722423,THP1,387,0.1195,RG108
8.3,1.0142563589383802,THP1,387,0.1195,RG108
17.0,1.1662800275059335,THP1,387,0.1195,RG108
33.0,0.9181490732170399,THP1,387,0.1195,RG108
66.0,0.9078062084632851,THP1,387,0.1195,RG108
130.0,1.0695835289944182,THP1,387,0.1195,RG108
270.0,0.987821357250278,THP1,387,0.1195,RG108
0.002,0.8832188173590754,HEL9217,700,0.1195,decitabine
0.0041,0.9491338386861699,HEL9217,700,0.1195,decitabine
0.0081,0.9683321003170732,HEL9217,700,0.1195,decitabine
0.016,0.8573574390631755,HEL9217,700,0.1195,decitabine
0.032,0.6686195729996304,HEL9217,700,0.1195,decitabine
0.065,0.8033657473923278,HEL9217,700,0.1195,decitabine
0.13,0.7984361289497873,HEL9217,700,0.1195,decitabine
0.26,0.7066186435227104,HEL9217,700,0.1195,decitabine
0.52,0.49344571947596955,HEL9217,700,0.1195,decitabine
1.0,0.5176587275375666,HEL9217,700,0.1195,decitabine
