run,beta,cell_line,depmap_id
SRR8633223,0.3222121687089933,EOL1,ACH-000198
SRR8633235,0.2116780242229568,F36P,ACH-000487
SRR8633289,0.6513280563013021,AML193,ACH-000557
SRR8633442,0.5908779600998306,PL21,ACH-000218
SRR8633517,0.3770014426447829,SKM1,ACH-000373
SRR8633548,0.3912514251601761,OCIAML2,ACH-000113
SRR8633588,0.17800067171568365,KO52,ACH-000498
SRR8633592,0.21271592224798763,THP1,ACH-000146
SRR8633609,0.2613978577129445,OCIAML3,ACH-000336
SRR8633676,0.16855212482680526,SIGM5,ACH-000112
SRR8633700,0.36201470396317537,KASUMI1,ACH-000263
SRR8633706,0.1778278972349317,KASUMI6,ACH-000166
SRR8633876,0.12264050333568932,BDCM,ACH-000080
SRR8633931,0.1423868702201334,HL60,ACH-000002
SRR8633936,0.3518497216711708,HEL9217,ACH-000005
SRR8634031,0.1587013667196367,KG1,ACH-000386
SRR8634110,0.3963556856533093,OCIAML5,ACH-000065
SRR8634120,0.20679231928858585,MONOMAC6,ACH-000006
SRR8634121,0.1536395800635309,MONOMAC1,ACH-001129
SRR8633251,0.10431361249238086,SET2,ACH-000195
SRR8633422,0.4190161991339089,TF1,ACH-000387
SRR8633470,0.2739898408493751,MV411,ACH-000045
SRR8633501,0.23413983843015562,NOMO1,ACH-000168
SRR8633523,0.3861016765437715,OCIM1,ACH-000751
SRR8633736,0.49766815672620324,GDM1,ACH-000081
SRR8633868,0.15552641819749974,MOLM13,ACH-000362
SRR8633937,0.37334694871497326,HEL,ACH-000004
SRR8633472,0.4743288587714995,NB4,ACH-000294
SRR8633653,0.34527676766955206,CMK,ACH-000641
SRR8633784,0.27511860071376737,ME1,ACH-000439
SRR8633869,0.1883900134176813,MOLM16,ACH-000369
SRR8633912,0.7464436307818159,U937,ACH-000406
SRR8634040,0.25234209687356396,M07E,ACH-000602
SRR8633774,0.47851472015047103,P31FUJ,ACH-000770
