ccl_name,cpd_name,lpmd,area_under_curve,context
P31FUJ,azacitidine,0.05772444483388829,14.112,cgi
P31FUJ,decitabine,0.05772444483388829,9.3377,cgi
P31FUJ,RG-108,0.05772444483388829,12.322,cgi
P31FUJ,decitabine:navitoclax (2:1 mol/mol),0.05772444483388829,6.9774,cgi
P31FUJ,selumetinib:decitabine (4:1 mol/mol),0.05772444483388829,7.1034,cgi
P31FUJ,decitabine:carboplatin (1:1 mol/mol),0.05772444483388829,10.775,cgi
HEL,azacitidine,0.06262270448695052,14.163,cgi
HEL,decitabine,0.06262270448695052,6.8316,cgi
HEL,RG-108,0.06262270448695052,11.864,cgi
HEL,decitabine:navitoclax (2:1 mol/mol),0.06262270448695052,7.298,cgi
HEL,decitabine:carboplatin (1:1 mol/mol),0.06262270448695052,9.5177,cgi
MONOMAC6,decitabine,0.044835404318023776,13.573,cgi
MONOMAC6,RG-108,0.044835404318023776,14.628,cgi
MONOMAC6,decitabine:navitoclax (2:1 mol/mol),0.044835404318023776,11.339,cgi
MONOMAC6,selumetinib:decitabine (4:1 mol/mol),0.044835404318023776,12.174,cgi
ME1,decitabine,0.05236989572742534,13.539,cgi
ME1,RG-108,0.05236989572742534,14.48,cgi
ME1,decitabine:navitoclax (2:1 mol/mol),0.05236989572742534,7.2203,cgi
ME1,selumetinib:decitabine (4:1 mol/mol),0.05236989572742534,8.6657,cgi
ME1,decitabine:carboplatin (1:1 mol/mol),0.05236989572742534,14.09,cgi
NOMO1,azacitidine,0.05696949759276954,14.069,cgi
NOMO1,decitabine,0.05696949759276954,7.8482,cgi
NOMO1,RG-108,0.05696949759276954,10.741,cgi
NOMO1,decitabine:carboplatin (1:1 mol/mol),0.05696949759276954,9.8516,cgi
OCIAML2,azacitidine,0.05845248172020627,12.84,cgi
OCIAML2,decitabine,0.05845248172020627,6.7101,cgi
OCIAML2,RG-108,0.05845248172020627,16.387,cgi
OCIAML2,decitabine:carboplatin (1:1 mol/mol),0.05845248172020627,8.3467,cgi
THP1,azacitidine,0.04112595237923052,12.917,cgi
THP1,decitabine,0.04112595237923052,13.84,cgi
THP1,RG-108,0.04112595237923052,14.878,cgi
THP1,decitabine:navitoclax (2:1 mol/mol),0.04112595237923052,12.107,cgi
THP1,selumetinib:decitabine (4:1 mol/mol),0.04112595237923052,6.6444,cgi
THP1,decitabine:carboplatin (1:1 mol/mol),0.04112595237923052,13.195,cgi
OCIAML3,azacitidine,0.0421291564133737,14.565,cgi
OCIAML3,decitabine,0.0421291564133737,14.296,cgi
OCIAML3,decitabine:navitoclax (2:1 mol/mol),0.0421291564133737,14.305,cgi
OCIAML3,selumetinib:decitabine (4:1 mol/mol),0.0421291564133737,3.5385,cgi
OCIAML3,decitabine:carboplatin (1:1 mol/mol),0.0421291564133737,14.508,cgi
EOL1,azacitidine,0.0594630855808291,13.326,cgi
EOL1,decitabine,0.0594630855808291,2.9783,cgi
EOL1,RG-108,0.0594630855808291,11.041,cgi
EOL1,decitabine:navitoclax (2:1 mol/mol),0.0594630855808291,2.047,cgi
EOL1,selumetinib:decitabine (4:1 mol/mol),0.0594630855808291,3.0543,cgi
EOL1,decitabine:carboplatin (1:1 mol/mol),0.0594630855808291,4.3402,cgi
CMK,azacitidine,0.032048558358948,14.352,cgi
CMK,decitabine,0.032048558358948,8.3546,cgi
CMK,RG-108,0.032048558358948,14.363,cgi
CMK,decitabine:navitoclax (2:1 mol/mol),0.032048558358948,8.8831,cgi
CMK,selumetinib:decitabine (4:1 mol/mol),0.032048558358948,7.5666,cgi
CMK,decitabine:carboplatin (1:1 mol/mol),0.032048558358948,9.607,cgi
KASUMI1,decitabine,0.04361537010262254,10.129,cgi
KASUMI1,RG-108,0.04361537010262254,15.0,cgi
KASUMI1,decitabine:navitoclax (2:1 mol/mol),0.04361537010262254,7.1835,cgi
KASUMI1,selumetinib:decitabine (4:1 mol/mol),0.04361537010262254,7.8533,cgi
KASUMI1,decitabine:carboplatin (1:1 mol/mol),0.04361537010262254,10.405,cgi
KO52,azacitidine,0.04174551670055457,14.318,cgi
KO52,decitabine,0.04174551670055457,9.9317,cgi
KO52,RG-108,0.04174551670055457,12.63,cgi
KO52,decitabine:navitoclax (2:1 mol/mol),0.04174551670055457,7.447,cgi
KO52,selumetinib:decitabine (4:1 mol/mol),0.04174551670055457,6.4578,cgi
KO52,decitabine:carboplatin (1:1 mol/mol),0.04174551670055457,12.689,cgi
OCIM1,azacitidine,0.06444038072433986,15.357,cgi
OCIM1,decitabine,0.06444038072433986,8.4816,cgi
OCIM1,RG-108,0.06444038072433986,13.326,cgi
OCIM1,decitabine:navitoclax (2:1 mol/mol),0.06444038072433986,6.6512,cgi
OCIM1,selumetinib:decitabine (4:1 mol/mol),0.06444038072433986,8.2996,cgi
OCIM1,decitabine:carboplatin (1:1 mol/mol),0.06444038072433986,8.5318,cgi
SIGM5,azacitidine,0.0451896908838258,14.913,cgi
SIGM5,decitabine,0.0451896908838258,11.247,cgi
SIGM5,RG-108,0.0451896908838258,15.316,cgi
SIGM5,decitabine:navitoclax (2:1 mol/mol),0.0451896908838258,10.855,cgi
SIGM5,selumetinib:decitabine (4:1 mol/mol),0.0451896908838258,3.504,cgi
SIGM5,decitabine:carboplatin (1:1 mol/mol),0.0451896908838258,11.596,cgi
HEL9217,azacitidine,0.07269127900441978,14.551,cgi
HEL9217,decitabine,0.07269127900441978,8.9849,cgi
HEL9217,RG-108,0.07269127900441978,12.214,cgi
HEL9217,decitabine:navitoclax (2:1 mol/mol),0.07269127900441978,8.0628,cgi
HEL9217,selumetinib:decitabine (4:1 mol/mol),0.07269127900441978,9.8485,cgi
HEL9217,decitabine:carboplatin (1:1 mol/mol),0.07269127900441978,9.1101,cgi
BDCM,decitabine:carboplatin (1:1 mol/mol),0.055351550816399336,14.595,cgi
F36P,azacitidine,0.05094759633498464,14.643,cgi
F36P,decitabine,0.05094759633498464,10.333,cgi
F36P,RG-108,0.05094759633498464,13.158,cgi
F36P,decitabine:navitoclax (2:1 mol/mol),0.05094759633498464,8.6734,cgi
