cpd_conc_umol,bsub_value,cell_line,ctrp_experiment_id,baseline,drug
0.0081,1.1632668869918705,SIGM5,694,0.1195,RG108
0.016,1.184174910077392,SIGM5,694,0.1195,RG108
0.032,0.8896439898022013,SIGM5,694,0.1195,RG108
0.065,0.2882764800292265,SIGM5,694,0.1195,RG108
0.13,1.0334228358052857,SIGM5,694,0.1195,RG108
0.26,1.1209445115101815,SIGM5,694,0.1195,RG108
0.52,1.1474884832500054,SIGM5,694,0.1195,RG108
1.0,1.0766694028117165,SIGM5,694,0.1195,RG108
2.1,1.1240519114972463,SIGM5,694,0.1195,RG108
4.2,1.1733353889838845,SIGM5,694,0.1195,RG108
8.3,1.1005431567616073,SIGM5,694,0.1195,RG108
17.0,1.0658658389294946,SIGM5,694,0.1195,RG108
33.0,1.131142080939616,SIGM5,694,0.1195,RG108
66.0,1.1842812302301886,SIGM5,694,0.1195,RG108
130.0,1.0776490104146905,SIGM5,694,0.1195,RG108
270.0,0.6075488346427795,SIGM5,694,0.1195,RG108
0.0081,1.0106580902824496,KASUMI1,576,0.1195,RG108
0.016,1.1716015228605503,KASUMI1,576,0.1195,RG108
0.032,1.1383800416758705,KASUMI1,576,0.1195,RG108
0.065,1.0575683020789013,KASUMI1,576,0.1195,RG108
0.13,0.9150977667380419,KASUMI1,576,0.1195,RG108
0.26,1.0328630546005373,KASUMI1,576,0.1195,RG108
0.52,1.18670884119434,KASUMI1,576,0.1195,RG108
1.0,1.0230096510762046,KASUMI1,576,0.1195,RG108
2.1,1.0826777820261255,KASUMI1,576,0.1195,RG108
4.2,1.0964956407976558,KASUMI1,576,0.1195,RG108
8.3,1.0695196786681809,KASUMI1,576,0.1195,RG108
17.0,1.0857454696523212,KASUMI1,576,0.1195,RG108
33.0,1.1254118175977799,KASUMI1,576,0.1195,RG108
66.0,1.0459690212276882,KASUMI1,576,0.1195,RG108
130.0,1.0858778115980758,KASUMI1,576,0.1195,RG108
270.0,1.0157005039341498,KASUMI1,576,0.1195,RG108
0.002,0.8999302996342456,SIGM5,694,0.1195,decitabine
0.0041,0.9926523642680378,SIGM5,694,0.1195,decitabine
0.0081,0.9601015835381272,SIGM5,694,0.1195,decitabine
0.016,0.9528925391165431,SIGM5,694,0.1195,decitabine
0.032,0.6056013614753664,SIGM5,694,0.1195,decitabine
