run,context,status,distance,n_concordant,n_discordant,lpmd
SRR3088187,cgi,WT,2,10066239,382373,0.036595578436638285
SRR3088187,cgi,WT,3,8077092,384136,0.045399556660097096
SRR3088187,cgi,WT,4,6810299,341266,0.04771906568702095
SRR3088187,cgi,WT,5,7046480,352470,0.047637840504395894
SRR3088187,cgi,WT,6,8418400,404752,0.04587385551104639
SRR3088187,cgi,WT,7,6945543,350628,0.048056439466673685
SRR3088187,cgi,WT,8,6559822,322251,0.046824699476451355
SRR3088187,cgi,WT,9,7626248,399745,0.04980629811164799
SRR3088187,cgi,WT,10,6558057,331609,0.04813136079455811
SRR3088187,cgi,WT,11,6597350,344185,0.0495834134669061
SRR3088187,cgi,WT,12,6853742,366518,0.050762437917748114
SRR3088187,cgi,WT,13,6204128,332336,0.05084339177879661
SRR3088187,cgi,WT,14,6124293,335196,0.05189203046866401
SRR3088187,cgi,WT,15,6371089,358051,0.053209028196768086
SRR3088187,cgi,WT,16,5848514,322902,0.05232218991557205
SRR3088187,cgi,WT,17,5828603,325725,0.05292616838101576
SRR3088187,cgi,WT,18,6083877,345525,0.053741389945752345
SRR3088187,cgi,WT,19,5580264,309557,0.052557963985662724
SRR3088187,cgi,WT,20,5539251,312426,0.053390848469592564
SRR3088187,cgi,WT,21,5731205,338495,0.05576799512331746
SRR3088187,cgi,WT,22,5230178,303576,0.05485896192711132
SRR3088187,cgi,WT,23,5171798,300310,0.05488013028982615
SRR3088187,cgi,WT,24,5294102,316088,0.05634176382618058
SRR3088187,cpg_shore,WT,2,576277,41905,0.06778748006250586
SRR3088187,cpg_shore,WT,3,549392,45870,0.07705850533042594
SRR3088187,cpg_shore,WT,4,556788,59288,0.09623488011219394
SRR3088187,cpg_shore,WT,5,458686,44672,0.08874796864259632
SRR3088187,cpg_shore,WT,6,640428,56468,0.08102787216456975
SRR3088187,cpg_shore,WT,7,484463,45279,0.08547368341570047
SRR3088187,cpg_shore,WT,8,557104,57746,0.09391884199398227
SRR3088187,cpg_shore,WT,9,547781,52994,0.08820939619657941
SRR3088187,cpg_shore,WT,10,530080,55219,0.09434323311674887
SRR3088187,cpg_shore,WT,11,465527,47922,0.09333351511055626
SRR3088187,cpg_shore,WT,12,600179,63237,0.09532028169353769
SRR3088187,cpg_shore,WT,13,427204,49803,0.1044072728492454
SRR3088187,cpg_shore,WT,14,458022,53370,0.10436221137600901
SRR3088187,cpg_shore,WT,15,452771,52707,0.10427160034660263
SRR3088187,cpg_shore,WT,16,464828,54442,0.1048433377626283
SRR3088187,cpg_shore,WT,17,403536,47573,0.10545788268467267
SRR3088187,cpg_shore,WT,18,431717,47804,0.09969115012689747
SRR3088187,cpg_shore,WT,19,385713,47362,0.10936211972522081
SRR3088187,cpg_shore,WT,20,420170,52635,0.1113249648375123
SRR3088187,cpg_shore,WT,21,409800,49246,0.10727900907534321
SRR3088187,cpg_shore,WT,22,408121,52624,0.11421502132415978
SRR3088187,cpg_shore,WT,23,361428,46431,0.11384081263377785
SRR3088187,cpg_shore,WT,24,446774,57690,0.11435900282279805
SRR3088187,cpg_shelf,WT,2,193772,17532,0.08297050694733654
SRR3088187,cpg_shelf,WT,3,209615,24379,0.1041864321307384
SRR3088187,cpg_shelf,WT,4,236957,27547,0.10414587303027553
SRR3088187,cpg_shelf,WT,5,180299,21714,0.10748813195190408
SRR3088187,cpg_shelf,WT,6,250095,30275,0.10798230909155758
SRR3088187,cpg_shelf,WT,7,201567,24759,0.10939529704938894
SRR3088187,cpg_shelf,WT,8,223855,27518,0.10947078644086676
SRR3088187,cpg_shelf,WT,9,223663,27560,0.10970333130326443
SRR3088187,cpg_shelf,WT,10,226927,30353,0.1179765236318408
SRR3088187,cpg_shelf,WT,11,190297,24311,0.11328095877134124
SRR3088187,cpg_shelf,WT,12,253946,31628,0.11075237941829438
SRR3088187,cpg_shelf,WT,13,180337,25507,0.12391422630730067
SRR3088187,cpg_shelf,WT,14,189957,26385,0.12195967495909255
SRR3088187,cpg_shelf,WT,15,184363,26979,0.12765564819108366
SRR3088187,cpg_shelf,WT,16,197020,27323,0.12179118581814453
SRR3088187,cpg_shelf,WT,17,166196,24078,0.12654382627158728
SRR3088187,cpg_shelf,WT,18,174702,25175,0.12595246076336947
SRR3088187,cpg_shelf,WT,19,164807,25165,0.13246688985745267
SRR3088187,cpg_shelf,WT,20,178732,26376,0.1285956666731673
SRR3088187,cpg_shelf,WT,21,170688,25584,0.13034971875764245
SRR3088187,cpg_shelf,WT,22,172415,26084,0.13140620355770055
SRR3088187,cpg_shelf,WT,23,156129,25177,0.138864681808655
SRR3088187,cpg_shelf,WT,24,185308,28182,0.1320061829593892
SRR3088187,promoter,WT,2,8606943,252438,0.028493864300451692
SRR3088187,promoter,WT,3,7070140,256223,0.034972741590882137
SRR3088187,promoter,WT,4,6016795,241602,0.038604454143768764
SRR3088187,promoter,WT,5,6164982,239685,0.037423491338425555
SRR3088187,promoter,WT,6,7397224,276088,0.035980291170227406
SRR3088187,promoter,WT,7,6060762,240334,0.03814161853747348
SRR3088187,promoter,WT,8,5782840,225446,0.037522514740476735
SRR3088187,promoter,WT,9,6659514,273949,0.03951113606577262
SRR3088187,promoter,WT,10,5749318,229985,0.03846351322219329
SRR3088187,promoter,WT,11,5748053,236103,0.03945468667594896
SRR3088187,promoter,WT,12,6058566,254864,0.040368547683272006
SRR3088187,promoter,WT,13,5411084,228197,0.04046561964193662
SRR3088187,promoter,WT,14,5370754,231306,0.0412894542364773
SRR3088187,promoter,WT,15,5567831,243350,0.041876169405151896
SRR3088187,promoter,WT,16,5154938,225831,0.04197002324388949
SRR3088187,promoter,WT,17,5074679,220513,0.04164400459888896
SRR3088187,promoter,WT,18,5320417,235087,0.04231605269296899
SRR3088187,promoter,WT,19,4900707,211738,0.04141619127442936
SRR3088187,promoter,WT,20,4854042,216616,0.04271950504254083
SRR3088187,promoter,WT,21,5029883,228680,0.04348716560018393
SRR3088187,promoter,WT,22,4620516,213476,0.04416143013889969
SRR3088187,promoter,WT,23,4519268,207564,0.0439118631675507
SRR3088187,promoter,WT,24,4708668,222608,0.045142068705949535
SRR3088187,methylation_canyon,WT,2,2801725,136429,0.04643357700106938
SRR3088187,methylation_canyon,WT,3,2382608,141966,0.05623364575567997
SRR3088187,methylation_canyon,WT,4,1950163,123222,0.059430351815991725
SRR3088187,methylation_canyon,WT,5,1965811,129199,0.06166987269750503
SRR3088187,methylation_canyon,WT,6,2425044,153219,0.05942721902303993
SRR3088187,methylation_canyon,WT,7,1928808,125088,0.06090279157269891
SRR3088187,methylation_canyon,WT,8,1830543,114373,0.058806138671284515
SRR3088187,methylation_canyon,WT,9,2182646,146893,0.06305668203022143
SRR3088187,methylation_canyon,WT,10,1832730,118723,0.060838257442018845
SRR3088187,methylation_canyon,WT,11,1869174,124752,0.06256601298142458
SRR3088187,methylation_canyon,WT,12,1968410,132687,0.06315129667978203
SRR3088187,methylation_canyon,WT,13,1738641,121062,0.06509749137362256
SRR3088187,methylation_canyon,WT,14,1722452,117559,0.063890378916213
