run,status,context,lpmd
SRR3088187,WT,cgi,0.04973357
SRR3088187,WT,cpg_shore,0.09675748
SRR3088187,WT,cpg_shelf,0.11730837
SRR3088187,WT,promoter,0.039426625
SRR3088187,WT,methylation_canyon,0.06282975
SRR3088187,WT,exon,0.08866994
SRR3088187,WT,genebody,0.09525935
SRR3088187,WT,sine,0.09568461
SRR3088187,WT,line,0.0990118
SRR3088187,WT,ltr,0.0932041
SRR3088187,WT,bivalent_domain,0.11897857
SRR3088187,WT,bivalent_promoter,0.09023067
SRR3088187,WT,nonbivalent_promoter,0.01593341
SRR3088187,WT,bivalent_promoter_bivslop1000,0.088048734
SRR3088187,WT,nonbivalent_promoter_bivslop1000,0.01557903
SRR3088190,WT,cgi,0.053960867
SRR3088190,WT,cpg_shore,0.10064468
SRR3088190,WT,cpg_shelf,0.124664485
SRR3088190,WT,promoter,0.042892445
SRR3088190,WT,methylation_canyon,0.07069672
SRR3088190,WT,exon,0.09435562
SRR3088190,WT,genebody,0.1002737
SRR3088190,WT,sine,0.10166496
SRR3088190,WT,line,0.10315456
SRR3088190,WT,ltr,0.09565364
SRR3088190,WT,bivalent_domain,0.13250467
SRR3088190,WT,bivalent_promoter,0.10026768
SRR3088190,WT,nonbivalent_promoter,0.016147185
SRR3088190,WT,bivalent_promoter_bivslop1000,0.09779082
SRR3088190,WT,nonbivalent_promoter_bivslop1000,0.015785445
SRR3088192,WT,cgi,0.030954894
SRR3088192,WT,cpg_shore,0.08752441
SRR3088192,WT,cpg_shelf,0.110796764
SRR3088192,WT,promoter,0.024318144
SRR3088192,WT,methylation_canyon,0.031499
SRR3088192,WT,exon,0.08475343
SRR3088192,WT,genebody,0.093018934
SRR3088192,WT,sine,0.10110812
SRR3088192,WT,line,0.1003143
SRR3088192,WT,ltr,0.09937931
SRR3088192,WT,bivalent_domain,0.05953573
SRR3088192,WT,bivalent_promoter,0.04534281
SRR3088192,WT,nonbivalent_promoter,0.013920417
SRR3088192,WT,bivalent_promoter_bivslop1000,0.04455857
SRR3088192,WT,nonbivalent_promoter_bivslop1000,0.013780994
SRR3088195,WT,cgi,0.02963915
SRR3088195,WT,cpg_shore,0.09297748
SRR3088195,WT,cpg_shelf,0.11877208
SRR3088195,WT,promoter,0.023518614
SRR3088195,WT,methylation_canyon,0.029564803
SRR3088195,WT,exon,0.09359779
SRR3088195,WT,genebody,0.10284444
SRR3088195,WT,sine,0.11661966
SRR3088195,WT,line,0.109844595
SRR3088195,WT,ltr,0.11038143
SRR3088195,WT,bivalent_domain,0.054335088
SRR3088195,WT,bivalent_promoter,0.04080727
SRR3088195,WT,nonbivalent_promoter,0.014992033
SRR3088195,WT,bivalent_promoter_bivslop1000,0.04021996
SRR3088195,WT,nonbivalent_promoter_bivslop1000,0.0149055775
SRR3088201,WT,cgi,0.044233933
SRR3088201,WT,cpg_shore,0.09376543
SRR3088201,WT,cpg_shelf,0.12120922
SRR3088201,WT,promoter,0.035537932
SRR3088201,WT,methylation_canyon,0.056592915
SRR3088201,WT,exon,0.0907228
SRR3088201,WT,genebody,0.09915007
SRR3088201,WT,sine,0.103783146
SRR3088201,WT,line,0.09843146
SRR3088201,WT,ltr,0.09886866
SRR3088201,WT,bivalent_domain,0.104715474
SRR3088201,WT,bivalent_promoter,0.07914527
SRR3088201,WT,nonbivalent_promoter,0.014793742
SRR3088201,WT,bivalent_promoter_bivslop1000,0.0774274
SRR3088201,WT,nonbivalent_promoter_bivslop1000,0.014399084
SRR3088204,WT,cgi,0.032067474
SRR3088204,WT,cpg_shore,0.094465
SRR3088204,WT,cpg_shelf,0.12933008
SRR3088204,WT,promoter,0.025598321
SRR3088204,WT,methylation_canyon,0.03431454
SRR3088204,WT,exon,0.0988541
SRR3088204,WT,genebody,0.10991558
SRR3088204,WT,sine,0.123815626
SRR3088204,WT,line,0.11258033
SRR3088204,WT,ltr,0.11856841
SRR3088204,WT,bivalent_domain,0.063779555
SRR3088204,WT,bivalent_promoter,0.0480509
SRR3088204,WT,nonbivalent_promoter,0.014576855
SRR3088204,WT,bivalent_promoter_bivslop1000,0.047251858
SRR3088204,WT,nonbivalent_promoter_bivslop1000,0.014391999
SRR3088206,WT,cgi,0.043492306
SRR3088206,WT,cpg_shore,0.0976968
SRR3088206,WT,cpg_shelf,0.123905785
SRR3088206,WT,promoter,0.03394298
SRR3088206,WT,methylation_canyon,0.0568617
SRR3088206,WT,exon,0.09318808
SRR3088206,WT,genebody,0.10237335
SRR3088206,WT,sine,0.111332215
SRR3088206,WT,line,0.108526856
SRR3088206,WT,ltr,0.10465134
SRR3088206,WT,bivalent_domain,0.09875257
SRR3088206,WT,bivalent_promoter,0.073200144
SRR3088206,WT,nonbivalent_promoter,0.014863969
SRR3088206,WT,bivalent_promoter_bivslop1000,0.071615376
SRR3088206,WT,nonbivalent_promoter_bivslop1000,0.014635706
SRR3088209,Other,cgi,0.034929205
SRR3088209,Other,cpg_shore,0.09825363
SRR3088209,Other,cpg_shelf,0.1313148
SRR3088209,Other,promoter,0.027249986
SRR3088209,Other,methylation_canyon,0.03903522
SRR3088209,Other,exon,0.10033253
SRR3088209,Other,genebody,0.11124671
SRR3088209,Other,sine,0.12227278
SRR3088209,Other,line,0.1152969
SRR3088209,Other,ltr,0.11355382
SRR3088209,Other,bivalent_domain,0.06978741
SRR3088209,Other,bivalent_promoter,0.051540878
SRR3088209,Other,nonbivalent_promoter,0.0153409
SRR3088209,Other,bivalent_promoter_bivslop1000,0.050664473
SRR3088209,Other,nonbivalent_promoter_bivslop1000,0.015201387
SRR3088211,R882,cgi,0.049530443
SRR3088211,R882,cpg_shore,0.09641474
SRR3088211,R882,cpg_shelf,0.107319
SRR3088211,R882,promoter,0.039164785
SRR3088211,R882,methylation_canyon,0.055145964
SRR3088211,R882,exon,0.081512086
SRR3088211,R882,genebody,0.08992038
SRR3088211,R882,sine,0.091611765
SRR3088211,R882,line,0.092494495
SRR3088211,R882,ltr,0.09201777
SRR3088211,R882,bivalent_domain,0.10803116
SRR3088211,R882,bivalent_promoter,0.08191207
SRR3088211,R882,nonbivalent_promoter,0.018197477
SRR3088211,R882,bivalent_promoter_bivslop1000,0.08016621
SRR3088211,R882,nonbivalent_promoter_bivslop1000,0.017765608
SRR3088214,Other,cgi,0.028965537
SRR3088214,Other,cpg_shore,0.08868475
SRR3088214,Other,cpg_shelf,0.11917639
SRR3088214,Other,promoter,0.022672066
SRR3088214,Other,methylation_canyon,0.029318115
SRR3088214,Other,exon,0.09258945
SRR3088214,Other,genebody,0.101463325
SRR3088214,Other,sine,0.113347866
SRR3088214,Other,line,0.10290085
SRR3088214,Other,ltr,0.10319011
SRR3088214,Other,bivalent_domain,0.055715088
SRR3088214,Other,bivalent_promoter,0.041409455
SRR3088214,Other,nonbivalent_promoter,0.013456029
SRR3088214,Other,bivalent_promoter_bivslop1000,0.040693223
SRR3088214,Other,nonbivalent_promoter_bivslop1000,0.013387552
SRR3088216,INS,cgi,0.04868416
SRR3088216,INS,cpg_shore,0.09913203
SRR3088216,INS,cpg_shelf,0.11689771
SRR3088216,INS,promoter,0.03828206
SRR3088216,INS,methylation_canyon,0.05605205
SRR3088216,INS,exon,0.087690406
SRR3088216,INS,genebody,0.0974386
SRR3088216,INS,sine,0.10684697
SRR3088216,INS,line,0.10003967
SRR3088216,INS,ltr,0.10407921
SRR3088216,INS,bivalent_domain,0.10791122
SRR3088216,INS,bivalent_promoter,0.08084339
SRR3088216,INS,nonbivalent_promoter,0.017322073
SRR3088216,INS,bivalent_promoter_bivslop1000,0.07910052
SRR3088216,INS,nonbivalent_promoter_bivslop1000,0.016962247
SRR3088219,INS,cgi,0.05890346
SRR3088219,INS,cpg_shore,0.10466185
SRR3088219,INS,cpg_shelf,0.12064683
SRR3088219,INS,promoter,0.047866546
SRR3088219,INS,methylation_canyon,0.071031295
SRR3088219,INS,exon,0.09244264
SRR3088219,INS,genebody,0.10139354
SRR3088219,INS,sine,0.10630683
SRR3088219,INS,line,0.101134114
SRR3088219,INS,ltr,0.10375696
SRR3088219,INS,bivalent_domain,0.13887638
SRR3088219,INS,bivalent_promoter,0.10773881
SRR3088219,INS,nonbivalent_promoter,0.019772766
SRR3088219,INS,bivalent_promoter_bivslop1000,0.10521753
SRR3088219,INS,nonbivalent_promoter_bivslop1000,0.019244349
SRR3088221,INS,cgi,0.053096235
SRR3088221,INS,cpg_shore,0.09826024
SRR3088221,INS,cpg_shelf,0.113801144
SRR3088221,INS,promoter,0.042152558
SRR3088221,INS,methylation_canyon,0.07105652
SRR3088221,INS,exon,0.08321261
SRR3088221,INS,genebody,0.09194782
SRR3088221,INS,sine,0.09874108
SRR3088221,INS,line,0.09162867
SRR3088221,INS,ltr,0.091631316
