state_type,length,normalized_length,subclass,vs_NBM_dmr_type,null_normalized_length,enrichment,log_enrichment
10_TssBiv,7077,0.003911855292861265,ins,hyper,0.0010244009844367257,3.818675843046195,0.5819127938665527
11_BivFlnk,366563,0.20261995361270377,ins,hyper,0.04110005801828783,4.9299189193977835,0.6928397766509223
12_EnhBiv,362060,0.20013089265696618,ins,hyper,0.023320547197533327,8.581740855469057,0.9335753959180397
13_ReprPC,220650,0.12196564509959565,ins,hyper,0.0442597018833494,2.7556815773646095,0.44022903283540504
14_ReprPCWk,25374,0.014025634619338949,ins,hyper,0.09113657731472811,0.15389687689173662,-0.8127701934397858
15_Quies,29523,0.016319019897010466,ins,hyper,0.2961689323192335,0.05510037723815197,-1.2588454277927352
1_TssA,28838,0.015940381932391282,ins,hyper,0.07354661357514676,0.21673848947652888,-0.6640639577021189
2_TssAFlnk,438160,0.24219563587962237,ins,hyper,0.08389528015902648,2.8868803515588954,0.46042878466543247
3_TxFlnk,3794,0.0020971568434528247,ins,hyper,0.000849213530625175,2.469528296268357,0.3926140067449051
4_Tx,4436,0.002452026293504673,ins,hyper,0.10157419268894068,0.024140248901743405,-1.6172582563556364
5_TxWk,17848,0.009865591813902478,ins,hyper,0.11102853089416523,0.0888563663271972,-1.0513114506755414
6_EnhG,15519,0.008578222734197253,ins,hyper,0.008725179249273289,0.9831571924338086,-0.007377039290145154
7_Enh,154046,0.08514987430325092,ins,hyper,0.060682922304168725,1.4031933708868434,0.14711752428731278
8_ZNF/Rpts,6353,0.0035116598382856595,ins,hyper,0.0045553322285184356,0.7708899509680291,-0.11300761559181226
9_Het,21767,0.012031843176446396,ins,hyper,0.01950509308341919,0.6168564858926193,-0.209815864548128
12_EnhBiv,1659,0.029360753221010907,ins,hypo,0.023320547197533327,1.259007902872728,0.10002845621051938
13_ReprPC,2373,0.04199702675916749,ins,hypo,0.0442597018833494,0.948877307620702,-0.02278993938311254
14_ReprPCWk,4365,0.07725116805889846,ins,hypo,0.09113657731472811,0.8476417519183519,-0.07178765958138658
15_Quies,9235,0.1634397564774175,ins,hypo,0.2961689323192335,0.5518463911712713,-0.2581817931956919
1_TssA,607,0.010742602293642928,ins,hypo,0.07354661357514676,0.14606522002085928,-0.8354531827734056
2_TssAFlnk,5672,0.10038227382132238,ins,hypo,0.08389528015902648,1.1965187270492956,0.0779195002670698
3_TxFlnk,949,0.016795271131247347,ins,hypo,0.000849213530625175,19.777441745285174,1.2961701139669088
4_Tx,7297,0.12914129973099248,ins,hypo,0.10157419268894068,1.2713987314324309,0.1042817737672634
5_TxWk,5167,0.09144485346170182,ins,hypo,0.11102853089416523,0.8236158105061213,-0.08427532505830597
6_EnhG,1881,0.033289678606824295,ins,hypo,0.008725179249273289,3.8153575595134,0.5815352444788437
7_Enh,16880,0.2987399122186039,ins,hypo,0.060682922304168725,4.922965158487125,0.6922267621326321
9_Het,419,0.007415404219170325,ins,hypo,0.01950509308341919,0.38017784316415193,-0.4200131974967277
10_TssBiv,3924,0.008352117082889014,r882,hyper,0.0010244009844367257,8.15317166791038,0.9113265866440732
11_BivFlnk,106827,0.22737808654785538,r882,hyper,0.04110005801828783,5.532305731701924,0.7429061725078041
12_EnhBiv,96358,0.20509513197579485,r882,hyper,0.023320547197533327,8.794610616919327,0.944216615747221
13_ReprPC,80675,0.1717143337568987,r882,hyper,0.0442597018833494,3.8796992851300254,0.5887980648030031
14_ReprPCWk,5150,0.010961621553740681,r882,hyper,0.09113657731472811,0.12027686222937878,-0.9198179102542714
