status,distance_bin,beta
INS,"(-3000.0, -2970.0]",0.5036015783755048
INS,"(-2970.0, -2940.0]",0.47504005397680493
INS,"(-2940.0, -2910.0]",0.4513573994898668
INS,"(-2910.0, -2880.0]",0.4782914181114086
INS,"(-2880.0, -2850.0]",0.4637110909581779
INS,"(-2850.0, -2820.0]",0.44559164161003856
INS,"(-2820.0, -2790.0]",0.4564568014635777
INS,"(-2790.0, -2760.0]",0.4739278807923737
INS,"(-2760.0, -2730.0]",0.46485989885470047
INS,"(-2730.0, -2700.0]",0.4417515626421017
INS,"(-2700.0, -2670.0]",0.41434877130641307
INS,"(-2670.0, -2640.0]",0.4186431789992298
INS,"(-2640.0, -2610.0]",0.42889626007602377
INS,"(-2610.0, -2580.0]",0.45533421030548066
INS,"(-2580.0, -2550.0]",0.4549323732950191
INS,"(-2550.0, -2520.0]",0.42208387146584575
INS,"(-2520.0, -2490.0]",0.38267771407764445
INS,"(-2490.0, -2460.0]",0.3764137663741331
INS,"(-2460.0, -2430.0]",0.4186137360294102
INS,"(-2430.0, -2400.0]",0.43263721506076536
INS,"(-2400.0, -2370.0]",0.43254487808641895
INS,"(-2370.0, -2340.0]",0.414802148181126
INS,"(-2340.0, -2310.0]",0.37899926853103105
INS,"(-2310.0, -2280.0]",0.3871806330200049
INS,"(-2280.0, -2250.0]",0.4120997290199043
INS,"(-2250.0, -2220.0]",0.3769081288149908
INS,"(-2220.0, -2190.0]",0.39027424881268374
INS,"(-2190.0, -2160.0]",0.3740621853894735
INS,"(-2160.0, -2130.0]",0.36140710041068147
INS,"(-2130.0, -2100.0]",0.36212056862851183
INS,"(-2100.0, -2070.0]",0.3876252195130025
INS,"(-2070.0, -2040.0]",0.3663005272375935
INS,"(-2040.0, -2010.0]",0.36267010140255057
INS,"(-2010.0, -1980.0]",0.3535875466742589
INS,"(-1980.0, -1950.0]",0.3207457862450599
INS,"(-1950.0, -1920.0]",0.3266186511442456
INS,"(-1920.0, -1890.0]",0.3153562057930454
INS,"(-1890.0, -1860.0]",0.3068855184265744
INS,"(-1860.0, -1830.0]",0.3416424534273832
INS,"(-1830.0, -1800.0]",0.3086751952985214
INS,"(-1800.0, -1770.0]",0.3107851688520365
INS,"(-1770.0, -1740.0]",0.318333085671699
INS,"(-1740.0, -1710.0]",0.3218299622079313
INS,"(-1710.0, -1680.0]",0.31837055607101955
INS,"(-1680.0, -1650.0]",0.2991194537978451
INS,"(-1650.0, -1620.0]",0.29012990512773756
INS,"(-1620.0, -1590.0]",0.2961237387565244
INS,"(-1590.0, -1560.0]",0.25757121134295025
INS,"(-1560.0, -1530.0]",0.285155443842014
INS,"(-1530.0, -1500.0]",0.26702673509087826
INS,"(-1500.0, -1470.0]",0.28206183002121055
INS,"(-1470.0, -1440.0]",0.2911581898660778
INS,"(-1440.0, -1410.0]",0.28845094512224956
INS,"(-1410.0, -1380.0]",0.2657170350839229
INS,"(-1380.0, -1350.0]",0.27772014633862435
INS,"(-1350.0, -1320.0]",0.25569405526195876
INS,"(-1320.0, -1290.0]",0.24708927549064577
INS,"(-1290.0, -1260.0]",0.24520418656859266
INS,"(-1260.0, -1230.0]",0.2205932064640258
INS,"(-1230.0, -1200.0]",0.22225543092103714
INS,"(-1200.0, -1170.0]",0.2208405570681221
INS,"(-1170.0, -1140.0]",0.2099449640842548
INS,"(-1140.0, -1110.0]",0.22511191484702095
INS,"(-1110.0, -1080.0]",0.2122694838131528
INS,"(-1080.0, -1050.0]",0.1997469645001393
INS,"(-1050.0, -1020.0]",0.20179704255343534
INS,"(-1020.0, -990.0]",0.19059203585717843
INS,"(-990.0, -960.0]",0.19244684472423848
INS,"(-960.0, -930.0]",0.1870857549421615
INS,"(-930.0, -900.0]",0.15560161494626026
INS,"(-900.0, -870.0]",0.15825365671808841
INS,"(-870.0, -840.0]",0.17042687573385684
INS,"(-840.0, -810.0]",0.16665631182284876
INS,"(-810.0, -780.0]",0.1614722941481904
INS,"(-780.0, -750.0]",0.15444109809488743
INS,"(-750.0, -720.0]",0.14857036532825615
INS,"(-720.0, -690.0]",0.1491942453165308
INS,"(-690.0, -660.0]",0.15668464701726267
INS,"(-660.0, -630.0]",0.15854166119718746
INS,"(-630.0, -600.0]",0.1637248984597894
INS,"(-600.0, -570.0]",0.1716417883473351
INS,"(-570.0, -540.0]",0.15678451837745602
INS,"(-540.0, -510.0]",0.1517359548617547
INS,"(-510.0, -480.0]",0.14895841467371498
INS,"(-480.0, -450.0]",0.15271753345009706
INS,"(-450.0, -420.0]",0.15022802418660336
INS,"(-420.0, -390.0]",0.16566173086176297
INS,"(-390.0, -360.0]",0.1723923254689256
INS,"(-360.0, -330.0]",0.17583600568213928
INS,"(-330.0, -300.0]",0.16321789295278835
INS,"(-300.0, -270.0]",0.16761743177138538
INS,"(-270.0, -240.0]",0.17295500028158442
INS,"(-240.0, -210.0]",0.19581554340211202
INS,"(-210.0, -180.0]",0.20181409491956348
INS,"(-180.0, -150.0]",0.21458945877000735
INS,"(-150.0, -120.0]",0.2227272501003271
INS,"(-120.0, -90.0]",0.21927981215573403
INS,"(-90.0, -60.0]",0.236782969355339
INS,"(-60.0, -30.0]",0.2438832358355739
INS,"(-30.0, 0.0]",0.42802754587043645
NBM,"(-3000.0, -2970.0]",0.47246343778406374
NBM,"(-2970.0, -2940.0]",0.44044506304978354
NBM,"(-2940.0, -2910.0]",0.42112008569856174
NBM,"(-2910.0, -2880.0]",0.45196036572577486
NBM,"(-2880.0, -2850.0]",0.4355716476143651
NBM,"(-2850.0, -2820.0]",0.40890792703660056
NBM,"(-2820.0, -2790.0]",0.42406044443245544
NBM,"(-2790.0, -2760.0]",0.4389878904078899
NBM,"(-2760.0, -2730.0]",0.439818562406593
NBM,"(-2730.0, -2700.0]",0.42018319982702873
NBM,"(-2700.0, -2670.0]",0.3783251442816422
NBM,"(-2670.0, -2640.0]",0.3932310530550974
NBM,"(-2640.0, -2610.0]",0.3959783368233076
NBM,"(-2610.0, -2580.0]",0.42202453609549334
NBM,"(-2580.0, -2550.0]",0.4205553780996579
NBM,"(-2550.0, -2520.0]",0.3824272553430076
NBM,"(-2520.0, -2490.0]",0.34108163877108433
NBM,"(-2490.0, -2460.0]",0.3488889612551956
NBM,"(-2460.0, -2430.0]",0.3836035164812683
NBM,"(-2430.0, -2400.0]",0.39390792256547613
NBM,"(-2400.0, -2370.0]",0.3965726521583841
NBM,"(-2370.0, -2340.0]",0.37599519476190446
NBM,"(-2340.0, -2310.0]",0.34994238667792715
NBM,"(-2310.0, -2280.0]",0.3536297264688563
NBM,"(-2280.0, -2250.0]",0.3779639577097513
NBM,"(-2250.0, -2220.0]",0.3407970314231415
NBM,"(-2220.0, -2190.0]",0.3633265683228501
NBM,"(-2190.0, -2160.0]",0.34583919731879736
NBM,"(-2160.0, -2130.0]",0.3254605195539349
NBM,"(-2130.0, -2100.0]",0.3336579970545246
NBM,"(-2100.0, -2070.0]",0.35528239841595793
NBM,"(-2070.0, -2040.0]",0.33233825840909165
NBM,"(-2040.0, -2010.0]",0.33481065473799787
