run,name,status,bisulfite_conversion_rate
SRR3088388,AML_115_Rel,WT,0.9975425128628175
SRR3088597,NBM_06,NBM,0.998711783390144
SRR3088604,NBM_13,NBM,0.9988986267335648
SRR3088600,NBM_09,NBM,0.9987609682237235
SRR3088602,NBM_11,NBM,0.9988913058038493
SRR3088605,NBM_14,NBM,0.9988513138534308
SRR3088599,NBM_08,NBM,0.998559664838112
SRR3088603,NBM_12,NBM,0.9989436402682341
SRR3088598,NBM_07,NBM,0.9984951764239104
SRR3088601,NBM_10,NBM,0.9988537973842061
SRR3088390,AML_116_Dx,R882,0.9981128100855821
SRR3088583,AML_139_Dx,WT,0.9989712144193612
SRR3088575,AML_135_Rel,WT,0.9988020043029349
SRR3088378,AML_113_Rel,WT,0.9989176256030693
SRR3088410,AML_121_Dx,WT,0.9986868344756016
SRR3088563,AML_133_Dx,INS,0.9988197090625602
SRR3088403,AML_119_Dx,WT,0.9976829349941295
SRR3088385,AML_115_Dx,WT,0.9979133064623958
SRR3088224,AML_082_Rel,INS,0.9985163778020465
SRR3088293,AML_097_Dx,WT,0.9987833994123314
SRR3088433,AML_126_Dx,WT,0.9988337724279186
SRR3088413,AML_121_Rel,WT,0.9986109213026066
SRR3088572,AML_135_Dx,WT,0.9986032370121692
SRR3088596,NBM_05,NBM,0.9980611910343056
SRR3088353,AML_108_Rel,R882,0.9969168503631931
SRR3088195,AML_075_Rel,WT,0.9985996918345392
SRR3088375,AML_113_Dx,WT,0.9986731717046932
SRR3088436,AML_126_Rel,WT,0.9986528971077814
SRR3088567,AML_133_Rel,INS,0.9984006154035785
SRR3088296,AML_097_Rel,Other,0.9989423294523567
SRR3088221,AML_082_Dx,INS,0.9986296530160688
SRR3088261,AML_090_Rel,WT,0.9989811578914698
SRR3088219,AML_081_Rel,INS,0.9988023457521894
SRR3088204,AML_078_Rel,WT,0.998859338418131
SRR3088417,AML_123_Dx,R882,0.9985233695834563
SRR3088226,AML_083_Dx,WT,0.998837725548316
SRR3088349,AML_108_Dx,R882,0.9982823506650443
SRR3088443,AML_128_Dx,INS,0.9990756872553125
SRR3088592,NBM_01,NBM,0.9972327685419622
SRR3088263,AML_091_Dx,WT,0.998823292262343
SRR3088281,AML_094_Rel,Other,0.998787485424002
SRR3088216,AML_081_Dx,INS,0.9988185742646518
SRR3088278,AML_094_Dx,WT,0.9987663036370488
SRR3088192,AML_075_Dx,WT,0.9987443583611153
SRR3088368,AML_111_Dx,WT,0.9983879017498105
SRR3088441,AML_127_Rel,WT,0.9991272517648584
SRR3088276,AML_093_Rel,WT,0.9989535385986273
SRR3088303,AML_099_Dx,WT,0.9988412484126341
SRR3088201,AML_078_Dx,WT,0.9987268574838137
SRR3088266,AML_091_Rel,WT,0.9989028422405094
