Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),86/170,4.354534331537167e-19,2.1959916633941937e-15,0,0,4.163247925639341,176.01337568523286,ROBO2;TENM2;PTPRS;TENM3;TENM4;CDH9;CLDN1;MYPN;CDH7;ROBO1;CDH6;TRO;CLDN22;CDH5;CDH4;CDH3;CDH2;CDH1;CLDN23;HMCN1;CD177;GRID2;CXADR;CLDN6;CLDN11;CLDN5;MAG;CLDN4;JAML;CLDN9;CLDN14;CEACAM6;CDH10;CEACAM5;CDH11;CDHR3;CDH12;CLDN18;DSG2;CDH15;CLDN16;CEACAM8;CDH17;DSCAML1;CDH19;NLGN1;AMIGO3;AMIGO2;GATA5;SLITRK2;FLRT3;CDH20;SLITRK1;CDH22;GPC4;LRRC4C;GPC6;PCDHA7;MPZL2;NTNG1;CADM3;CADM1;L1CAM;PCDHB11;SELE;IGSF11;SELP;PTPRD;SDK1;LRFN5;PCDHB16;PLXNB3;PCDHB6;CNTN2;PCDHB5;DCHS1;PCDHB4;CNTN4;FAT4;NECTIN4;PCDHB9;NECTIN3;SDK2;CBLN1;ADGRL3;NECTIN1
GO_Biological_Process_2021,adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189),58/118,1.1756211505328762e-12,2.964328731068647e-09,0,0,3.908844917977338,107.3729384674507,GLP1R;ADRA1D;PTH1R;ADRA1B;RXFP1;MC4R;UCN3;UCN2;ADGRE3;LHCGR;ADRA2C;ADRA2B;ADRA2A;ADCYAP1;ADORA2A;ADRB3;ADGRB3;ADGRB1;IAPP;PTGFR;CALCA;RAMP2;CALCRL;CALCB;GPR119;PTGER1;PTGER3;LPAR1;LPAR3;ADCY1;CRHR1;ADCY5;ADGRG4;GNG2;ADGRG7;CNR1;ADGRG6;S1PR1;S1PR3;DRD2;GPHA2;DRD5;GPR12;GCGR;GPR4;CXCL10;ADGRD1;CXCL11;ADGRD2;GHRH;MC5R;GPR101;VIP;ADGRL4;ADGRL2;LGR4;PF4;ADGRL3
GO_Biological_Process_2021,anterograde trans-synaptic signaling (GO:0098916),96/244,2.2564113391918538e-12,3.793027461181507e-09,0,0,2.6338059370846256,70.63142032911297,CHRM2;GABRB2;CHRM3;SNAP25;GABRB1;OR10J5;CPNE6;GRIK4;GRIK2;HTR2A;HTR4;SLC6A1;SLC6A2;GABRR3;GRM3;GABRR1;GRM5;GRM4;PRKACG;KIF5A;UNC13B;CHRNB4;HTR3E;HTR3A;HTR3B;SYN2;GABRG1;OMP;KCNQ2;KCNQ3;CRH;UTS2;HAP1;CHRNA1;OR10H1;NLGN1;CHRNA2;NLGN2;OR10H2;CHRNA4;OR10H5;KCNA1;NRXN1;SLC1A1;CACNA1B;LPAR3;SLC1A6;CPLX1;CACNA1E;LRP6;GLRA1;GLRA2;HRH1;GALR3;PTCHD1;NPY;PENK;KCNMB4;SNCG;NPTX1;HCRT;GABRE;ASIC2;NPTX2;GABRD;GRIA3;DRD5;GABRA2;GABRQ;SYT5;GABRP;DTNA;HOMER1;SYT1;GABRA4;GAD1;HTR1D;HTR1B;OPRK1;PCDHB11;GRIN1;HCRTR1;CAMK4;SYT10;PNOC;PCDHB16;PCDHB6;PCDHB5;PCDHB4;APBA1;CAMK1;ZACN;PCDHB9;APBA2;SCN2B;CBLN1
GO_Biological_Process_2021,nervous system development (GO:0007399),151/447,3.560610924183255e-12,4.075165882648311e-09,0,0,2.0813619543159683,54.86696767287855,SEMA5A;CHRM2;CNTFR;CHRM3;SH3GL3;MYT1L;CPNE6;MSI1;CYP46A1;FGF5;RPS6KA6;EDNRB;CDH2;CDH1;ADGRA2;ADORA1;DPF3;NRTN;NRCAM;MNX1;SH3GL2;PCDHAC1;SEMA6B;RBFOX1;RBFOX3;APLP1;POU3F1;PCDHA10;POU3F3;KCNQ2;ADGRB1;MAL;TAGLN3;LY6H;NBL1;GPM6A;INTU;DLX6;LPAR1;KALRN;SNTG2;ATXN1;SCIN;PCDHA1;MOBP;FLRT3;ADGRG6;PCDHA5;PCDHA4;PCDHA3;PCDHA2;NPTX1;DRD2;ASIC2;PCDHA7;PCDHA6;BDNF;ST8SIA2;FZD9;POU6F2;INHBA;L1CAM;DCLK1;SDK1;IL3;GDNF;ARTN;LHX1;PCDHB6;PCDHB5;DCHS1;PCDHB4;FAT4;CNTN4;SCN2A;FGF13;PCDHB9;FGF12;SDK2;ROBO2;ACHE;PPP1R17;NCAN;PCSK9;CXCL1;NR2E1;ROBO1;DMBX1;SHH;ZIC2;DNER;ZIC1;TEAD1;CHST8;EMX2;ADGRV1;PROP1;ACTL6B;NRG1;GFRA1;PROX1;GFRA3;ECRG4;VCAN;ADORA2A;NAV3;ALDH1A2;HAP1;RAPGEF5;DSCAML1;MET;SHANK2;YAP1;PRKN;NLGN1;NLGN2;NRXN1;CXCR4;CRMP1;ACAN;RELN;ACVR1C;ERBB3;SLITRK1;ERBB4;ADAM23;SLITRK6;NOTO;HES1;PCDH1;HES5;ARNT2;MBD5;GSN;GSX1;MOG;LSAMP;PCDHB15;PCDHB12;PCDHB11;POU4F1;VAX2;GRHL2;TBX3;MARCKS;PCDHB16;APBA1;APBA2;NEUROG1;ADGRL3;CBLN1
GO_Biological_Process_2021,adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188),72/165,4.040418285393923e-12,4.075165882648311e-09,0,0,3.1352079364036527,82.25115466411063,CHRM2;GLP1R;VIPR2;ADRA1D;PTH1R;ADRA1B;RXFP1;MC4R;UCN3;RGS1;UCN2;ADGRE3;GRM8;FFAR3;GNAT1;CCR3;LHCGR;GLP2R;ADRA2A;ADCYAP1;ADORA2A;ADRB3;ADGRB3;ADGRB1;IAPP;PTGFR;CALCA;RAMP2;CALCRL;CALCB;GIPR;GPR119;PTGER1;PTGER3;LPAR1;FPR1;LPAR3;ADCY1;MCHR1;CRHR1;ADCY5;ADGRG4;GALR3;ADGRG7;CNR1;ADGRG6;S1PR1;S1PR3;GPHA2;DRD5;P2RY12;GABBR1;GPR12;GCGR;HTR1D;SCTR;HTR1B;OPRK1;GPR4;CXCL10;MARCO;ADGRD1;CXCL11;ADGRD2;GHRH;MC5R;VIP;ADGRL4;ADGRL2;LGR4;PF4;ADGRL3
GO_Biological_Process_2021,synapse organization (GO:0050808),58/126,3.565052025084794e-11,2.9964262270837693e-08,0,0,3.447249828394067,82.93137636064478,APP;ACHE;PTPRS;CTNND2;SLC6A1;ELFN1;CX3CL1;SLC8A2;GRM5;CDH2;CDH1;DNER;NRCAM;UNC13B;MUSK;ANK3;DKK1;DOK7;PDZRN3;SHANK2;CHRNA1;C1QB;CX3CR1;GPM6A;C1QA;NLGN1;NLGN2;NRXN1;SLITRK2;FLRT3;SLITRK1;SLITRK6;SNCG;APBB2;GPC4;LRRC4C;DRD2;GPC6;NTNG1;BDNF;L1CAM;PCDHB11;POU4F1;PTPRD;SLC8A3;SDK1;LRFN5;PCDHB16;PCDHB6;CNTN2;PCDHB5;PCDHB4;PCDHB9;SDK2;CBLN2;CBLN1;ADGRL3;C1QC
GO_Biological_Process_2021,chemical synaptic transmission (GO:0007268),110/306,4.7386240448496305e-11,3.4138401511680986e-08,0,0,2.2801007292377107,54.20412601566793,CHRM2;CHRM3;CPNE6;HTR4;RIMS1;PRKACG;KIF5A;UNC13B;CHRNB4;GABRG1;OMP;KCNQ2;KCNQ3;UTS2;CHRNA1;CHRNA2;CHRNA4;SLC1A1;CACNA1B;LPAR3;LIN7A;SLC1A6;CPLX1;CACNA1E;HRH1;GALR3;PENK;KCNMB4;APOE;NPTX1;HCRT;ASIC2;NPTX2;DRD2;GRIA3;DRD5;SYT5;DTNA;HOMER1;SYT1;HTR1D;HTR1B;PNOC;PCDHB6;PCDHB5;PCDHB4;PCDHB9;SCN2B;GABRB2;SNAP25;GABRB1;OR10J5;GRIK3;GRIK4;GRIK2;HTR2A;SLC6A1;SLC6A2;GABRR3;GRM3;GABRR1;GRM5;GRM4;RIMBP3C;ERC2;DLGAP2;GRID2;SLC32A1;HTR3E;HTR3A;HTR3B;SYN2;SNPH;CRH;HAP1;OR10H1;NLGN1;NLGN2;OR10H2;OR10H5;KCNA1;NRXN1;LRP6;GLRA1;GLRA2;PTCHD1;NPY;SNCG;SLC17A8;GABRE;GABRD;PDLIM4;GABRA2;GABRQ;GABRP;GABRA4;GAD1;OPRK1;PCDHB11;GRIN1;HCRTR1;CAMK4;SYT10;PCDHB16;APBA1;CAMK1;ZACN;APBA2;CBLN2;CBLN1
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),84/217,1.3848505653008874e-10,8.729751751015468e-08,0,0,2.559055964733079,58.09123240472963,VIT;APP;ITGB5;ELN;NCAN;ITGB3;SERPINE1;DMP1;ICAM5;LAMC1;COMP;ADAMTS4;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTSL5;IBSP;CDH1;ADAMTS1;ADAMTSL3;ADAMTSL2;MMP28;KDR;TNR;ITGB6;ADAMTS8;ADAMTS9;TGM3;FGB;POSTN;VWF;APLP1;ITGA1;FGG;BGN;NPNT;MMP8;DCN;ADAMTS20;MMP12;VCAN;COL2A1;MMP16;MMP15;MMP23B;PXDN;COL4A3;COL6A1;COL8A2;MATN1;ITGA8;COL8A1;MATN4;FBN2;COL17A1;COL13A1;LAMA2;COL11A1;LAMA4;LAMA3;PDGFA;ADAMTS12;NID1;ADAMTS10;COL19A1;THSD4;ADAMTS15;ACAN;TTR;ADAMTS18;SPP1;LUM;LAMB2;HRNR;COL1A1;MFAP5;SMOC2;COL3A1;COL5A1;SMOC1;COL5A3;COL7A1;ST7;MARCOL
GO_Biological_Process_2021,cation transport (GO:0006812),71/174,2.3648607683826164e-10,1.3251103172170597e-07,0,0,2.789036959427904,61.81937174905241,KCNG1;KCNK7;PKD2L1;SLC4A4;SLC6A3;AQP1;SLC8A2;SCN9A;PIEZO2;PANX3;SLC34A3;SLC36A3;TRPC6;SLC6A17;ABCC8;KCNK16;ABCC9;SCNN1G;ANO1;KCNMA1;CNGB3;RHCG;SCN4B;CNGB1;SLC22A3;SLC47A1;TMEM63C;KCNA1;SLC1A1;SLC22A1;KCNA3;KCNA4;ATP1A2;KCNA5;SLC5A1;KCNA6;PKD1L3;TRPM1;KCNV1;KCNMB2;KCNMB4;SCN7A;KCNN2;TRPM8;TRPM5;TRPM6;SCN3A;RHBG;SLC17A2;TRPM3;KCNJ2;SLC17A3;TRPM4;ASIC1;KCNJ4;SLC12A3;KCNJ5;NDFIP2;KCNJ6;KCNJ8;KCNJ12;KCNJ15;KCNJ16;GRIN1;SLC8A3;KCNS3;RHAG;FGF13;SCN2A;KCNK1;KCNK4
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),82/216,6.927371483860004e-10,3.055106517577745e-07,0,0,2.478061453833436,52.26323414333693,VIT;APP;ITGB5;ELN;NCAN;ITGB3;SERPINE1;DMP1;ICAM5;LAMC1;COMP;ADAMTS4;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTSL5;IBSP;CDH1;ADAMTS1;ADAMTSL3;ADAMTSL2;MMP28;KDR;TNR;ITGB6;ADAMTS8;ADAMTS9;FGB;POSTN;VWF;APLP1;ITGA1;FGG;BGN;NPNT;MMP8;DCN;ADAMTS20;MMP12;VCAN;COL2A1;MMP16;MMP15;MMP23B;PXDN;COL4A3;COL6A1;COL8A2;MATN1;ITGA8;COL8A1;MATN4;FBN2;COL17A1;COL13A1;LAMA2;COL11A1;LAMA4;LAMA3;PDGFA;ADAMTS12;NID1;ADAMTS10;COL19A1;THSD4;ADAMTS15;ACAN;TTR;ADAMTS18;SPP1;LUM;LAMB2;COL1A1;MFAP5;SMOC2;COL3A1;COL5A1;SMOC1;COL5A3;COL7A1;ST7;MARCOL
