Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2021,integral component of plasma membrane (GO:0005887),528/1454,2.1939460977238792e-51,8.622208164054844e-49,0,0,2.475550158752277,288.763365317941,CNTFR;SLC4A1;SLCO6A1;HTR4;SLC4A3;CLDN1;RXFP1;SLC4A4;GJA1;GJA3;GJA5;CXADR;TRHR;GABRG1;CLDN4;CLDN3;AGTR1;ENPEP;ABCB5;CLCNKB;CLCNKA;SLCO5A1;SLC5A1;THY1;FLRT2;GALR3;PCDHA1;FLRT3;C9;GALR1;KCNMB2;NPBWR2;SYNDIG1;PCDHA5;KCNMB4;PCDHA4;PCDHA3;PCDHA2;PCDHA9;HLA-DQA2;PCDHA7;PCDHA6;NGFR;GPR17;GPR12;FZD4;KIR2DS4;SLC16A12;SLC16A11;MYMK;SLC16A14;PCDHGA10;GP9;SLC6A7;GJB2;MYMX;SLC6A8;GJB4;FXYD2;FXYD1;FAT1;PCDHB6;PCDHB5;PCDHB4;PCDHB9;NOX1;PCDHB8;PCDHB7;PIGR;GABRB2;GABRB1;SIGLEC9;OR10J5;LRRC38;KCNC3;GPR22;GPR20;PTH1R;LRRC32;SLC6A1;SLC6A2;SLC6A3;FCRLA;C1QTNF1;MRC1;CTLA4;FCRL1;TPSG1;GPR32;FCRL4;SLC39A12;SLC7A7;GJD3;MMP16;KCNMA1;OR52A1;GPRC5C;OR10H1;ASAH2;OR10H2;OR10H5;KCNA1;KCNA3;KCNA4;GPR42;KCNA5;KCNA6;SGMS2;ADCY1;KCNA7;SLC7A2;EGFR;ADCY5;RHD;GLRA1;GLRA2;HAS1;GPR150;ADAM23;SLC17A1;SLC17A2;RHBG;SLC17A3;GABRA2;LRRC26;P2RY10;GABRA4;ECEL1;GPR4;KIR3DL2;SLC8A3;RHAG;ADGRL4;SLC28A2;SIGLEC7;SLC28A1;ADGRL2;LGR4;ADGRL3;SLC28A3;CHRM2;CHRM3;NCF1;CLEC4M;UPK2;TUSC3;IRS1;TNF;SLC8A2;CYSLTR2;CDH2;IYD;SLCO2B1;ADORA1;SLC16A9;SLC39A2;TNFRSF4;ROS1;PCDHAC1;KCNH2;SEMA6B;LHCGR;KCNH6;BTN1A1;SEMA6D;MAG;SLCO2A1;ROR1;ADAM8;ROR2;RHCG;TRABD2B;RHCE;CLEC4G;COL17A1;KCNE1;CALCRL;CD151;ITPR3;SLCO1B1;TPO;SLCO1B3;PLXNA2;CLCA2;BTLA;SLC38A3;DRD2;PLXNA4;CLCA4;DRD5;KL;SLC14A1;CD163;HTR1D;HTR1B;PTPRD;PTPRB;NOXA1;SLCO1A2;PLXNB3;SLC26A7;SLC26A9;GPR101;SLC26A3;DPP10;ALK;KCNK7;FLT1;BMPR2;FLT4;ITGB3;ADRA1D;HTR2A;TSPAN12;ADRA1B;FCGR3B;CLEC1A;SGCB;PRLHR;GRID2;TRPC6;TRPC3;COL25A1;TRPC4;HTR3E;HTR3A;HTR3B;ADRA2C;ADRA2B;ADRA2A;SLCO1C1;ADORA2A;MEP1A;MET;SLC24A2;CX3CR1;NLGN1;NLGN2;LRP1;SEMA3D;SEMA3A;SEMA3B;ATP10A;SLITRK6;CACNG1;PCDH1;KCNJ2;CACNG4;NTRK1;KCNJ4;KCNJ5;NTRK2;SLC12A3;KCNJ6;KCNJ8;KCNIP1;TRPA1;NTRK3;PCDH7;KCNIP4;KCNJ15;KCNJ16;HCRTR1;TSPAN16;P2RX6;IL2RA;TSPAN18;ZACN;KCNK1;KCNK4;APP;NPFFR1;VIPR2;HHIP;AQP8;IL23R;AQP9;AQP6;AQP4;ICAM5;AQP1;EDNRA;EDNRB;KDR;TNFSF11;MFSD2B;IFITM5;EPHB3;SLC34A2;UTS2R;EPHA7;SLC6A19;KCNK10;MUSK;EPHA8;IL1R1;SLC34A1;SLC11A1;KCNK13;SLC6A12;KCNK16;SLC6A11;TM4SF1;EREG;ADGRB3;KCNQ1;KCNQ2;ADGRB1;KCNQ3;PLPP2;CFTR;EPHA2;PTGFR;SLC22A3;GYPA;EPHA10;PCDH10;GYPB;GYPE;SLC22A1;PCDH15;LPAR1;LPAR3;CD1E;CD1C;APCDD1;PCDH18;CD1A;CRHR1;TRPM1;TSPAN8;TSPAN6;TSPAN7;TRPM8;TRPM5;SCN3A;TRPM6;TRPM3;TRPM4;TNFSF12;SLC10A2;LRRN4;IFNLR1;NMBR;DCLK1;ATP4B;ATP4A;MARCO;CALY;LPAR6;CD28;SCN2A;SCN2B;ACVRL1;RYR1;PTPRS;TENM3;GRIK3;GRIK4;CD3G;PTPRK;GRIK2;SLC7A10;CD3E;PTPRG;ROBO1;GABRR3;GABRR1;SLC22A17;FFAR4;FCER1A;CCR8;FFAR3;FFAR2;CCR6;FFAR1;CCR5;CCR3;SLC22A11;MME;INSRR;AVPR1A;NCR2;ANO1;ADRB3;CEACAM5;B3GNT3;TLR5;OR3A2;RAMP2;PTGER1;PTGER3;TMPRSS2;GUCY2F;KISS1R;GABRE;GABRD;DUOX2;GABRQ;GABRP;GABBR1;CD70;GCGR;PCDHB15;PCDHB12;LILRB2;PCDHB11;LYVE1;GRIN1;MAS1;EPGN;CD40LG;KCNS3;PCDHB16;MC5R;AMHR2;PCDH11Y;NCMAP;IGF1R;SCN9A;ENPP1;NRCAM;PDGFRB;PDGFRA;KIRREL1;CHRNB4;ABCG5;KIRREL2;LIFR;ATP1B2;PCDHA12;PCDHA10;SCNN1G;FOLH1;APLNR;KLRF2;STEAP1;CHRNA1;CHRNA2;CHRNA4;SLC1A1;CACNA1C;SLC1A6;MCHR1;FUT1;KIR2DL3;TRHDE;MCHR2;CACNA1H;CACNA1G;RASGRP3;EFNB2;CACNA1I;KCNV1;ADGRG4;ASIC4;HRH1;ASIC5;ADGRG7;ADGRG6;ASIC2;ASIC3;ASIC1;CAV2;CAV1;SLC52A1;CALHM3;SELE;IGF2R;SELP;BMP2;IL6;TRPV4;BMPR1B;LRP12;FGFR2;FGFR1;GLP1R;PCDHGB5;AQP10;GHR;GRM3;GRM5;UPK1B;GRM4;UPK1A;ADGRE3;GRM8;ABCC8;PCDHGA3;PCDHGA2;PCDHGA1;ABCC9;SSTR1;SSTR4;CDHR1;PCDHGB1;CDH16;SCN4B;IL9R;NPY4R;NRXN1;NRXN3;ATP1A2;DLL1;CLCN1;IL1RL2;ACVR1C;IFNL1;ERBB3;CNR1;ERBB4;PRRG1;SCN7A;S1PR3;MUC4;OR1D2;TRAT1;TPBG;ATP2B3;OPRK1;EPOR;CD2;ADGRD1;CLCN4;NPHS1;NPHS2;ADGRD2
GO_Cellular_Component_2021,collagen-containing extracellular matrix (GO:0062023),169/380,9.592810337551469e-28,1.8849872313288636e-25,0,0,3.30100910383118,205.3602944705844,VIT;FCN2;ADAMDEC1;PRSS1;SPON1;TPSB2;FCN3;SERPINE2;SERPINE1;COMP;EFEMP1;CDH2;TNN;TNR;HMCN1;CCN2;TGM2;SCARA3;POSTN;WNT5B;KRT1;FIBCD1;ADIPOQ;APLP1;WNT5A;P3H2;NPNT;AZGP1;SFRP1;SFRP2;SLPI;COL4A3;COL8A2;COL8A1;ZG16;MXRA5;S100A9;S100A8;FREM3;S100A7;FBN2;COL17A1;CD151;COL13A1;SDC2;SDC3;HTRA1;DPT;FBLN1;AEBP1;CFP;NID1;FBLN2;LTBP1;ADAMTS10;APOE;ELANE;AMBP;RARRES2;PRG2;PRG3;DEFA1;L1CAM;HRNR;COL1A1;CXCL12;COL5A1;IL7;COL5A3;COL20A1;FGFR2;FGF10;ACHE;SRPX;ORM1;SERPINA1;ELN;IFNA2;PZP;CLEC14A;LAMC1;ORM2;ADAMTS4;SHH;ADAMTS3;ADAMTS1;MMP28;EMILIN3;TIMP3;EMILIN1;CTSF;SOST;TPSAB1;ADAMTS8;ADAMTS9;FGB;MYOC;VWF;AHSG;COL25A1;ANXA5;FGG;BGN;MMP8;DCN;ADAMTS20;GREM1;TMEFF1;F7;TMEFF2;VCAN;COL2A1;MMP23B;PXDN;COL6A1;MATN1;ANGPTL2;COL21A1;VWA2;ANGPTL5;COL6A6;COL6A5;MATN4;C1QB;LRRC15;C1QA;LAMA2;COL11A1;LAMA4;LAMA3;SEMA3B;WNT8A;ITIH1;THBS2;COL19A1;THSD4;THBS4;NTN3;ACAN;CLEC3B;MUC2;GPC1;SPP2;LEFTY2;GDF10;COL26A1;ANGPT2;ATRNL1;GDF15;LUM;LAMB2;SULF1;PODN;USH2A;SOD3;AGT;MFAP5;SMOC2;MFAP4;COL3A1;FRAS1;SMOC1;COL7A1;MGP;CLC;FMOD;C1QC;PF4;CBLN1
GO_Cellular_Component_2021,neuron projection (GO:0043005),177/556,1.5856385563690938e-11,2.077186508843513e-09,0,0,1.9082645865843249,47.4536719458288,CHRM2;CHRM3;APP;CPNE6;FAM107A;STMN4;KNDC1;HTR4;CYP46A1;SLC8A2;IGF1R;RPH3A;GRIP1;SCGN;ATCAY;CDH2;SCN9A;NRCAM;EPHB3;GHSR;EPHA7;CHRNB4;CXADR;EPHA8;SLC6A12;SLC6A11;ANK2;ANK3;CPT1C;ANK1;GABRG1;OLFM1;ADCYAP1;OMP;ADGRB1;EPHA2;CHRNA1;TPH2;GPM6A;SPTBN4;CHRNA2;EPHA10;KLHL14;HEPACAM;CHRNA4;SLC1A1;THY1;MCHR1;CRHR1;CACNA1H;CACNA1G;CACNA1I;BRINP2;HRH1;MAP2;NPBWR2;PENK;MAP6;KCNN2;APOD;NPTX1;APOE;DRD2;CCDC141;SCN3A;MAP9;MARK1;SYT5;SYT4;HOMER1;MAGEE1;SYT1;FZD4;WFS1;BDNF;HTR1D;SLC4A10;HTR1B;L1CAM;SYT8;NSG2;PNOC;CNTN2;IGSF9B;CNTN4;SCN2A;FGF13;CPEB2;GABRB2;SNAP25;GABRB1;TENM2;PTPRS;TENM3;OR10J5;TENM4;KCNC3;GRIK3;ELAVL4;HTR2A;SLC6A1;PPP1R9A;SLC6A2;ELFN1;KIF17;SLC6A3;MYPN;GABRR3;CALB2;GRM3;TRIM9;GABRR1;PCLO;DNER;TMEM108;NEFL;NEFM;KIF1A;NEFH;PACRG;MME;SLC32A1;ARHGEF15;PLEKHG5;HTR3E;INSRR;COBL;HTR3A;HTR3B;SSTR1;PRSS12;SSTR4;CLDN11;HAP1;ARHGEF7;DSCAML1;SHANK2;SHANK1;CX3CR1;PRKN;OR10H1;NLGN1;CAMK2D;OR10H2;OR10H5;KCNA1;SEMA3A;KCNA3;KCNA4;GLRA1;GLRA2;RELN;SV2C;SCN7A;CTNNA2;GABRE;GABRD;GABRA2;NTRK1;GABRQ;NTRK2;GABRP;GABRA4;NTRK3;MX1;DAB2IP;OPRK1;GRIN1;SLC8A3;MYO1D;MLPH;ZACN;RAB17;VIP;ADGRL2;CDK5R2;ADGRL3
GO_Cellular_Component_2021,cell-cell junction (GO:0005911),91/271,9.218121566687155e-08,9.056804439270128e-06,0,0,2.046019158068276,33.14450671009629,BMPR2;CTNND2;ITGB3;LDB3;PTPRK;CLDN1;CDH9;CDH7;CDH6;CDH5;GJA1;POF1B;CDH2;TRIM29;CDH1;GJA5;CCN3;PGM5;HMCN1;KIRREL1;CXADR;KIRREL2;OPALIN;TRPC4;PLEKHG5;SHROOM2;SHROOM3;PARD3B;CLDN11;TIAM1;CLDN5;CLDN4;CLDN3;PARD3;CDC42EP4;CDH10;ADGRB1;CDH11;CDHR3;CDH12;DSG2;PKP3;STEAP1;DSC2;EPHA2;DSC3;CDH19;COL17A1;SPTBN4;COL13A1;HEPACAM;LIN7A;DLL1;CNN3;FLRT2;CDH20;PERP;CCDC85A;EPB41L3;NPHP1;CDH22;CTNNA3;STXBP6;CTNNA2;PCDH1;PDLIM4;CADM3;CDSN;NIBAN2;CADM1;CDC42BPA;ALOX15B;GRHL2;MAPK15;SMAD7;IGSF11;GJB2;KRT18;NPHS1;NPHS2;GJB6;TRPV4;WNK3;FAT1;DCHS1;ESAM;NECTIN4;NECTIN3;FERMT2;ADGRL3;NECTIN1
GO_Cellular_Component_2021,catenin complex (GO:0016342),19/31,5.815400965492409e-07,4.570905158877033e-05,0,0,6.358787574311312,91.29683890521802,CDH9;CDH7;CDH6;CDH5;CDH4;CDH3;CDH2;CDH20;CDH1;CDH10;CDH22;CDH11;CDHR3;CDH12;DCHS1;CTNNA2;CDH15;CDH17;CDH19
GO_Cellular_Component_2021,potassium channel complex (GO:0034705),35/80,1.181219967296532e-06,6.774966850433756e-05,0,0,3.129746392041474,42.71779202511666,DPP10;KCNE1;LRRC38;KCNC3;KCNA1;GRIK3;KCNA3;GRIK4;KCNA4;KCNA5;GRIK2;KCNA6;KCNA7;KCNV1;KCNMB2;KCNMB4;KCNJ2;KCNH2;KCNJ4;LRRC26;KCNJ5;KCNJ6;KCNJ8;KCNIP1;ABCC8;KCNIP4;KCNJ16;ABCC9;KCNQ1;KCNS3;KCNQ2;KCNMA1;KCNQ3;KCNK1;KCNK4
GO_Cellular_Component_2021,Golgi lumen (GO:0005796),41/100,1.2067370980416358e-06,6.774966850433756e-05,0,0,2.7980914543563045,38.13124439267985,APP;SDC2;NCAN;LHB;SDC3;PDGFA;DEFB1;WNT6;ACAN;MUC2;BGLAP;GPC1;GPC2;GPC5;GPC4;FGF23;GPC6;MUC4;WNT3;WNT5B;DEFA6;MUC16;F10;WNT3A;LUM;DEFA4;WNT5A;BGN;DEFA3;WNT7A;DEFA1;MUC3A;SOD3;MUC5AC;DCN;HS3ST1;F7;VCAN;MMP16;ZG16;FMOD
GO_Cellular_Component_2021,exocytic vesicle (GO:0070382),17/30,1.0285566378758786e-05,0.0005052784483565254,0,0,5.248826744433071,60.28156251261001,SYT5;SYT4;SYT3;SYT1;RAB3IL1;IGF1;SYT9;SYTL5;SYT8;SYTL3;SYT7;NKD2;SYT6;SYTL2;SYT12;SYT10;DPYSL3
GO_Cellular_Component_2021,sarcolemma (GO:0042383),24/52,1.850022671801157e-05,0.0008078432333531719,0,0,3.443230813452141,37.5233913688243,RYR1;TRIM72;RYR2;SYNM;CAV2;CAV1;DYSF;AQP4;ANK2;SLC2A4;ANK3;AQP1;SLC8A2;SLC8A3;DES;NOS1AP;FXYD1;SSPN;PGM5;FLNC;CACNG1;SYNC;BVES;SNTA1
GO_Cellular_Component_2021,adherens junction (GO:0005912),47/132,2.062145821107141e-05,0.0008104233076951063,0,0,2.226172229579917,24.018569253006763,SPTBN4;BMPR2;CTNND2;LIN7A;LDB3;CDH9;DLL1;CDH7;CNN3;CDH6;CDH5;CDH2;POF1B;CDH1;TRIM29;CDH20;CCDC85A;CDH22;PGM5;CTNNA3;HMCN1;STXBP6;CTNNA2;PDLIM4;CXADR;NIBAN2;SHROOM2;SHROOM3;ALOX15B;SMAD7;PARD3B;KRT18;PARD3;TRPV4;CDH10;CDC42EP4;WNK3;CDH11;CDHR3;CDH12;DCHS1;PKP3;NECTIN4;NECTIN3;FERMT2;CDH19;NECTIN1
