Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,receptor ligand activity (GO:0048018),135/307,7.368292200189507e-22,7.567236089594622e-19,0,0,3.2142663738379613,156.40519275962123,SEMA5A;SEMA5B;CSF2;CSF1;SCT;EPO;ERFE;CXCL13;FGF1;TNF;FGF5;NPPB;NPPC;IL36A;FGF8;FGF9;FAM3B;TNFSF11;IL12B;FAM3D;NRTN;SEMA6B;EPHA7;IFNA14;WNT5B;SEMA6D;IFNA17;ADIPOQ;WNT5A;DKK1;EREG;BTC;SFRP2;NBL1;CSH2;CSH1;LHB;PDGFA;TNFRSF11B;NTS;DPP4;WNT6;THPO;FGF20;FGF23;FGF22;WNT3;WNT10A;WNT3A;BDNF;TNFSF12;GDF2;IGF2;IL36G;GDF3;IGF1;INHBA;GDF6;GDF5;BMP5;BMP4;CXCL10;FGF16;PYY;BMP3;BMP2;IL6;GDNF;ARTN;IL7;FGF18;SCGB3A1;DAND5;FGF10;IFNA5;IFNA4;BMP10;IFNA6;EDA;IL26;CGB7;IFNA2;CXCL1;PRL;AREG;IFNA8;CX3CL1;SHH;TSHB;IL10;LEFTY1;FSHB;WNT9B;IL19;NRG1;WNT9A;GREM1;GREM2;IFNG;IFNE;CRH;SEMA3D;SEMA3A;SEMA3B;WNT8A;NPY;CCL4;CCL3;IFNL4;LEFTY2;CCL15;CCL25;GDF10;CCL24;IL33;IL31;IL37;IFNB1;GDF15;CD70;WNT7A;VEGFD;AGT;POMC;EPGN;TAFA4;TAFA5;TAFA2;TAFA3;CLCF1;LEP;IL17F;IL17D;VIP;CCL26
GO_Molecular_Function_2021,cytokine activity (GO:0005125),90/173,5.6327431117671326e-21,2.892413587892423e-18,0,0,4.414168181678119,205.81363900434263,IFNA5;CXCL6;IFNA4;BMP10;CSF2;CXCL8;IFNA6;CSF1;EPO;IL26;IFNA2;CXCL1;CXCL13;TNF;IFNA8;CX3CL1;CXCL5;IL36A;FAM3B;TNFSF11;IL12B;FAM3D;PF4V1;IL10;LEFTY1;IFNA14;WNT5B;IFNA17;WNT5A;ADIPOQ;WNT9B;IL19;NRG1;WNT9A;IFNG;IFNE;CCL14;CCL13;WNT8A;TNFRSF11B;WNT6;CCL7;CCL4;CCL3;CCL2;CCL1;CCL19;IFNL4;CCL18;LEFTY2;CCL17;WNT3;CCL15;GDF10;CCL25;CCL24;IL33;WNT10A;CCL23;CCL22;IL31;WNT3A;GDF15;CD70;CCL20;IL37;IFNB1;GDF2;IL36G;WNT7A;PPBP;GDF3;INHBA;GDF6;GDF5;BMP5;BMP4;CXCL10;BMP3;CXCL11;BMP2;IL6;CXCL12;IL7;CLCF1;SCGB3A1;IL17F;IL17D;PF4;CCL26
GO_Molecular_Function_2021,calcium ion binding (GO:0005509),140/348,2.1668241236861066e-18,7.417761250085439e-16,0,0,2.753686727779992,112.00144133968313,AMY2A;CPNE6;GUCA1A;PKD2L1;DMP1;CDH9;CDH7;CLGN;COMP;CDH6;RPH3A;CDH5;SCGN;HPGDS;CDH4;CDH3;CDH2;CDH1;ENPP2;CHP2;ENPP1;ENPP3;PRSS3;PRSS2;TGM3;TGM2;AMY1A;S100A1;AMY1B;ANXA10;EML1;SNTN;MYL2;ADAM8;S100A3;MASP1;CLEC4E;S100A9;PADI1;DSC2;S100A8;PVALB;S100A7;DSC3;HPCA;FBLN1;ITPR3;PLA2G5;PVALEF;RASGRP3;SCIN;S100A16;CDH20;CDH22;S100A12;PCDHA4;OTOF;PCDHA7;TRPM4;SYT5;SYT4;FER1L5;SYT3;SYT1;REG4;SYT9;ALOX15B;SYT8;SYT7;SYT6;SELP;VIL1;GJB2;CABYR;CLEC6A;PCDHB6;HRC;DCHS1;PCDHB8;RYR1;RYR2;CALR3;ANXA8L1;DYSF;EFCAB9;CALB2;SHH;PCLO;DNER;NCS1;EFHD1;PLA2G4F;ADGRV1;PLA2G4D;ANXA3;PLA2G4E;ANXA5;MMP12;PLSCR2;CDH10;PLSCR4;CDH11;CDHR3;CDH12;DSG2;CDH15;DNASE1L3;CDH17;CDH19;CRP;COLEC11;ASAH2;LRP1;NRXN1;PON1;ITLN1;ITIH1;THBS4;CLEC3B;BGLAP;SLIT1;MAN1C1;SLIT3;SLIT2;DUOX2;PLA2G2F;S100G;PLA2G2D;GSN;KCNIP1;GALNT3;PLA2G2C;KCNIP4;CABCOCO1;TUBB4A;GRIN1;SMOC2;SYT12;SYT10;ADGRL3
GO_Molecular_Function_2021,G protein-coupled receptor activity (GO:0004930),106/283,6.141265701997866e-12,1.576769968987952e-09,0,0,2.4334671042513616,62.82236304829874,VIPR2;NPFFR1;MRGPRF;GPR63;MRGPRD;MRGPRE;RORB;RXFP1;GPR173;CYSLTR2;GPR171;PDGFRB;UTS2R;GHSR;LHCGR;TAAR1;PDGFRL;TRHR;ADGRB3;ADGRB1;AGTR1;APLNR;CALCRL;GIPR;GPR119;GPR87;LPAR1;FPR1;GPR85;LPAR3;MCHR1;CRHR1;MCHR2;ADGRG4;HRH1;GALR3;ADGRG7;GALR1;NPBWR2;ADGRG6;DRD2;DRD5;GPR17;GPR12;NMBR;LPAR6;GPR101;GLP1R;GPR22;GPR20;ADRA1D;PTH1R;ADRA1B;MC4R;GRM3;GRM5;GRM4;ADGRE3;GRM8;FFAR4;FFAR3;PRLHR;FFAR2;CCR7;FFAR1;ADGRV1;ELOVL4;MRGPRX3;GPR32;GLP2R;AVPR1A;SSTR1;ADRA2C;ADRA2B;ADRA2A;SSTR4;ADRB3;ADORA2A;CX3CR1;NPY4R;GPR42;CXCR4;CXCR1;CNR1;GPR150;NPY;KISS1R;S1PR1;S1PR3;P2RY12;MAS1L;GABBR1;P2RY10;GCGR;SCTR;OPRK1;GPR4;HCRTR1;MAS1;ADGRD1;ADGRD2;MC5R;ADGRL4;ADGRL2;LGR4;ADGRL3
GO_Molecular_Function_2021,metal ion binding (GO:0046872),166/517,3.222532703335238e-11,6.619082172650579e-09,0,0,1.9303473048908624,46.633848332903725,AMY2A;CPNE6;MT1M;GUCA1A;DMP1;PKD2L1;CDH9;CDH7;CLGN;CDH6;RPH3A;COMP;CDH5;SCGN;HPGDS;CDH4;MT2A;CDH3;CDH2;CDH1;CHP2;ENPP2;ENPP1;ENPP3;PRSS3;PRSS2;TGM3;TGM2;POSTN;S100A1;AMY1A;IGFBP3;AMY1B;ANXA10;EML1;GEM;ERN2;SNTN;MYL2;MT1F;MT1G;ADAM8;S100A3;MASP1;CLEC4E;S100A9;TSSK2;PADI1;DSC2;S100A8;PVALB;S100A7;DSC3;MT1E;BRSK2;HPCA;ITPR3;FBLN1;PLA2G5;PVALEF;RASGRP3;SCIN;S100A16;CDH20;CDH22;S100A12;PCDHA4;OTOF;TPPP;APOE;PCK1;PCDHA7;TRPM4;MARK1;SYT5;SYT4;FER1L5;SYT3;SYT1;REG4;EPHX2;SYT9;ALOX15B;SYT8;MT3;SYT7;SYT6;SELP;VIL1;ATP4A;GJB2;CABYR;ALPP;CLEC6A;PCDHB6;HRC;PIR;DCHS1;PCDHB8;RYR1;CALR3;RYR2;ANXA8L1;DYSF;EFCAB9;CALB2;SHH;PCLO;DNER;NCS1;EFHD1;PLA2G4F;ADGRV1;PLA2G4D;ANXA3;PLA2G4E;ANXA5;MMP12;PLSCR2;CDH10;PLSCR4;CDH11;CDHR3;CDH12;DSG2;CDH15;DNASE1L3;CDH17;FBP1;PRTFDC1;CDH19;CRP;COLEC11;ASAH2;LRP1;NRXN1;PON1;ITLN1;ITIH1;THBS4;CLEC3B;ACVR1C;BGLAP;SLIT1;MAN1C1;SLIT3;SLIT2;DUOX2;PLA2G2F;S100G;PLA2G2D;GSN;KCNIP1;GALNT3;PLA2G2C;EYA2;KCNIP4;SEPTIN4;CDC42BPA;TUBB4A;CABCOCO1;GRIN1;SMOC2;SYT12;SYT10;ADGRL3
GO_Molecular_Function_2021,chemokine activity (GO:0008009),29/46,2.3161394791491082e-10,3.9644587418102245e-08,0,0,6.866058334691218,152.3300210598745,CCL14;CCL13;CXCL6;CXCL8;CXCL1;CXCL13;CX3CL1;CXCL5;CCL7;CCL4;CCL3;CCL2;CCL1;CCL19;CCL18;CCL17;PF4V1;CCL15;CCL25;CCL24;CCL23;CCL22;CCL20;PPBP;CXCL10;CXCL11;CXCL12;CCL26;PF4
GO_Molecular_Function_2021,chemokine receptor binding (GO:0042379),30/50,6.52622154042411e-10,9.574899317165089e-08,0,0,6.037783375314861,127.69925595875984,CCL14;CX3CR1;CXCL6;CCL13;CXCL8;CXCL1;CXCL13;CX3CL1;CXCL5;CCL7;CCL4;CCL3;CCL2;CCL1;CCL19;CCL18;CCL17;PF4V1;CCL15;CCL25;CCL24;CCL23;CCL22;CCL20;PPBP;CXCL10;CXCL11;CXCL12;CCL26;PF4
GO_Molecular_Function_2021,G protein-coupled peptide receptor activity (GO:0008528),37/82,2.2819355392903355e-07,2.929434748563968e-05,0,0,3.3102587826282,50.62402473410199,GLP1R;CX3CR1;VIPR2;NPFFR1;CALCRL;GIPR;FPR1;PTH1R;RXFP1;MCHR1;CRHR1;MCHR2;MC4R;EDNRA;CYSLTR2;EDNRB;NLRP6;GALR3;GALR1;NPBWR2;KISS1R;PRLHR;UTS2R;LHCGR;GPR32;GCGR;GLP2R;SCTR;OPRK1;SORCS1;AVPR1A;SORCS2;HCRTR1;MAS1;MC5R;APLNR;LGR4
GO_Molecular_Function_2021,transmembrane receptor protein tyrosine kinase activity (GO:0004714),29/60,7.794596049761249e-07,8.894500159005336e-05,0,0,3.761959691635324,52.910702699147926,ALK;NRP2;FLT1;EPHA10;FLT4;EGFR;IGF1R;EFEMP1;ERBB3;ERBB4;KDR;ROS1;EPHB3;PDGFRB;NTRK1;PDGFRA;NTRK2;EPHA7;MUSK;EPHA8;NTRK3;INSRR;IGF2R;ROR1;ROR2;MET;FGFR2;EPHA2;FGFR1
GO_Molecular_Function_2021,chloride channel activity (GO:0005254),30/64,1.152516451271937e-06,0.00011836343954562791,0,0,3.548525707512224,48.52098906563106,GABRB2;GABRB1;CLIC3;CLCNKB;CLCNKA;CLCN1;GABRR3;GLRA1;GABRR1;GLRA2;CLCA2;GABRE;GABRD;CLCA4;GABRA2;GABRQ;GABRP;GABRA4;ANO7;ANO4;ANO5;ANO2;GABRG1;ANO1;CLDN4;CLCN4;FXYD1;SLC26A7;SLC26A9;CFTR
