status,distance_bin,beta
INS,"(-3000.0, -2970.0]",0.3885480425833333
INS,"(-2970.0, -2940.0]",0.3468529743283583
INS,"(-2940.0, -2910.0]",0.29188704340740734
INS,"(-2910.0, -2880.0]",0.41158401829787233
INS,"(-2880.0, -2850.0]",0.2580306775193797
INS,"(-2850.0, -2820.0]",0.3188388496514161
INS,"(-2820.0, -2790.0]",0.27167810486111116
INS,"(-2790.0, -2760.0]",0.3471890152063492
INS,"(-2760.0, -2730.0]",0.35962029072222207
INS,"(-2730.0, -2700.0]",0.32679597392764864
INS,"(-2700.0, -2670.0]",0.3596671616414141
INS,"(-2670.0, -2640.0]",0.3889269801333341
INS,"(-2640.0, -2610.0]",0.37105642731266153
INS,"(-2610.0, -2580.0]",0.39629642388888897
INS,"(-2580.0, -2550.0]",0.32605713279569887
INS,"(-2550.0, -2520.0]",0.4050191406623935
INS,"(-2520.0, -2490.0]",0.31110038515366434
INS,"(-2490.0, -2460.0]",0.2942430109722223
INS,"(-2460.0, -2430.0]",0.32432996527777774
INS,"(-2430.0, -2400.0]",0.37552652682539706
INS,"(-2400.0, -2370.0]",0.364865105388889
INS,"(-2370.0, -2340.0]",0.31244296862573107
INS,"(-2340.0, -2310.0]",0.2147673692140921
INS,"(-2310.0, -2280.0]",0.2575638047619048
INS,"(-2280.0, -2250.0]",0.18771017630434783
INS,"(-2250.0, -2220.0]",0.28469188249999994
INS,"(-2220.0, -2190.0]",0.2668105055952381
INS,"(-2190.0, -2160.0]",0.29527350715447176
INS,"(-2160.0, -2130.0]",0.3863544910000002
INS,"(-2130.0, -2100.0]",0.21374688409876544
INS,"(-2100.0, -2070.0]",0.18892956930158733
INS,"(-2070.0, -2040.0]",0.3057645450529102
INS,"(-2040.0, -2010.0]",0.2401956728641974
INS,"(-2010.0, -1980.0]",0.3488905183838385
INS,"(-1980.0, -1950.0]",0.31818524297157613
INS,"(-1950.0, -1920.0]",0.26130672682539685
INS,"(-1920.0, -1890.0]",0.2544415952314816
INS,"(-1890.0, -1860.0]",0.26848678466666687
INS,"(-1860.0, -1830.0]",0.3057304745238094
INS,"(-1830.0, -1800.0]",0.16677179572649578
INS,"(-1800.0, -1770.0]",0.2039655912091504
INS,"(-1770.0, -1740.0]",0.260252889771242
INS,"(-1740.0, -1710.0]",0.28750601982142887
INS,"(-1710.0, -1680.0]",0.22172269527777777
INS,"(-1680.0, -1650.0]",0.3777035984188038
INS,"(-1650.0, -1620.0]",0.2812755006410258
INS,"(-1620.0, -1590.0]",0.2388797421455939
INS,"(-1590.0, -1560.0]",0.234685374040404
INS,"(-1560.0, -1530.0]",0.24814231320413443
INS,"(-1530.0, -1500.0]",0.21626019566081894
INS,"(-1500.0, -1470.0]",0.2371358414096185
INS,"(-1470.0, -1440.0]",0.16375289897660839
INS,"(-1440.0, -1410.0]",0.14017160136150228
INS,"(-1410.0, -1380.0]",0.20689808149758465
INS,"(-1380.0, -1350.0]",0.23763164301851855
INS,"(-1350.0, -1320.0]",0.24723649366500824
INS,"(-1320.0, -1290.0]",0.2219205295045048
INS,"(-1290.0, -1260.0]",0.22372554730324049
INS,"(-1260.0, -1230.0]",0.2407084353555557
INS,"(-1230.0, -1200.0]",0.2126510574747478
INS,"(-1200.0, -1170.0]",0.2632723755297157
INS,"(-1170.0, -1140.0]",0.26576991574074077
INS,"(-1140.0, -1110.0]",0.23607905254150688
INS,"(-1110.0, -1080.0]",0.16771360356009068
INS,"(-1080.0, -1050.0]",0.16446170123582768
INS,"(-1050.0, -1020.0]",0.23194272623333348
INS,"(-1020.0, -990.0]",0.18175413754273498
INS,"(-990.0, -960.0]",0.2182555105555556
INS,"(-960.0, -930.0]",0.2480001544234802
INS,"(-930.0, -900.0]",0.20200009688657422
INS,"(-900.0, -870.0]",0.2166676841382326
INS,"(-870.0, -840.0]",0.2256782168717949
INS,"(-840.0, -810.0]",0.17681108179429425
INS,"(-810.0, -780.0]",0.2372403430463579
INS,"(-780.0, -750.0]",0.2249589944444446
INS,"(-750.0, -720.0]",0.2121979694832041
INS,"(-720.0, -690.0]",0.15997892491341997
INS,"(-690.0, -660.0]",0.18650319653133915
INS,"(-660.0, -630.0]",0.1741132257661583
INS,"(-630.0, -600.0]",0.20798727229221356
INS,"(-600.0, -570.0]",0.18521454210437724
INS,"(-570.0, -540.0]",0.18546294391430643
INS,"(-540.0, -510.0]",0.2130097037530864
INS,"(-510.0, -480.0]",0.20285159200142447
INS,"(-480.0, -450.0]",0.187705151949557
INS,"(-450.0, -420.0]",0.14476524121072806
INS,"(-420.0, -390.0]",0.19820948260818724
INS,"(-390.0, -360.0]",0.21727020606680278
INS,"(-360.0, -330.0]",0.27318250926126125
INS,"(-330.0, -300.0]",0.24877952802589015
