chrom,start,end,q_value,mean_difference,num_CpGs,p_mwu,p_2d_ks,mean_g1,mean_g2,log_q_value
chr1,916533,916703,0.0007225,0.201724,4,0.0020144,3.4945e-05,0.55585,0.35412,3.1411621485714143
chr1,910376,910466,0.00062992,0.256467,4,9.008e-07,3.0126e-05,0.37588,0.11941,3.2007146025538455
chr1,935043,936259,1.4912999999999999e-236,0.498567,30,5.1514e-14,1.3263e-56,0.71167,0.2131,235.82643498214134
chr1,966261,966474,5.9296e-09,0.209298,10,4.5519e-14,1.2584e-10,0.25183,0.042531,8.226974602361196
chr1,983818,983881,4.711e-05,-0.2119,4,1.9072e-07,1.8365e-06,0.10316,0.31506,4.326886895761766
chr1,925859,925987,2.8566e-13,0.296939,9,4.2411e-14,3.3927e-15,0.31439,0.017449,12.544150568141845
chr1,959746,959776,1.9261e-06,0.228365,5,2.0193e-08,6.022e-08,0.79084,0.56247,5.7153211687583285
chr1,961245,961280,6.8572e-11,0.260568,6,4.3077e-14,1.1117e-12,0.31109,0.050521,10.163853183533067
chr1,939845,940085,1.0192e-08,0.307096,10,1.5971e-11,2.2422e-10,0.50639,0.19929,7.991740585008725
chr1,942827,942903,0.0023346,0.251783,6,6.0503e-09,0.00012491,0.40749,0.15571,2.631787518812614
chr1,1041162,1041209,1.025e-05,0.312346,6,9.8977e-09,3.6057e-07,0.46857,0.15622,4.989276134608227
chr1,1041222,1041314,2.6043e-10,0.236221,13,4.2188e-14,4.5513e-12,0.73665,0.50043,9.584308989059277
chr1,1069627,1069644,1.7945e-06,0.331636,4,9.8274e-10,5.585e-08,0.50114,0.1695,5.746056537330741
chr1,1140952,1140966,4.6494e-07,0.238774,4,4.0703e-12,1.3188e-08,0.90254,0.66377,6.332603088723377
chr1,1136647,1136849,1.4286e-06,0.337395,8,5.7843e-14,4.3847e-08,0.69994,0.36255,5.845089354211477
chr1,1158529,1158699,7.7956e-07,0.261934,6,1.1395e-11,2.292e-08,0.35488,0.09295,6.108150453065127
chr1,1115197,1115380,2.5966e-05,0.216162,11,5.1101e-11,9.7127e-07,0.34201,0.12585,4.585594947241116
chr1,1173474,1174344,4.2278e-20,0.37673,23,4.5075e-14,2.3941e-22,0.58236,0.20563,19.37388556558193
chr1,1162780,1163157,6.8944e-13,0.21045,8,4.1411e-14,8.6169e-15,0.90705,0.6966,12.161503523255707
chr1,1208349,1208378,1.0823e-05,-0.259593,4,2.804e-07,3.8178e-07,0.18976,0.44935,4.9656523415531515
chr1,1209397,1209447,7.8356e-08,-0.426031,4,4.3044e-12,1.9743e-09,0.23531,0.66134,7.105927742435692
chr1,1292105,1292369,1.7106e-05,0.238707,6,4.2754e-07,6.2266e-07,0.65965,0.42095,4.766851532306896
chr1,1304667,1304862,1.6826e-05,0.299345,4,2.0786e-07,6.1139e-07,0.86654,0.5672,4.774019115420408
chr1,1246343,1247088,2.1156000000000002e-207,0.373023,51,3.0087e-14,2.3452e-76,0.45355,0.08053,206.67456644165304
chr1,1374259,1374438,1.0215e-09,0.362203,6,7.0388e-14,1.953e-11,0.68482,0.32262,8.990761629031534
chr1,1348229,1348293,0.00034254,0.2926,4,4.2778e-07,1.5578e-05,0.60431,0.31171,3.4652887066096736
chr1,1355083,1355125,1.2487e-06,0.222784,9,1.341e-05,3.7968e-08,0.40616,0.18338,5.903541888282547
chr1,1355651,1355675,1.7828e-07,0.314985,4,2.3903e-11,4.7405e-09,0.37208,0.057096,6.748897374585861
chr1,1309281,1309642,4.7098e-09,0.261948,15,7.6827e-14,9.8487e-11,0.63544,0.37349,8.326997534641926
chr1,1430556,1430940,3.7281e-13,0.373281,11,4.1189e-14,4.5047e-15,0.78064,0.40736,12.428512446944204
chr1,1433143,1433824,5.1698e-12,0.383078,11,4.3632e-14,7.2049e-14,0.64887,0.2658,11.286526257791257
chr1,1419853,1420068,2.3582e-17,0.342685,16,4.4187e-14,1.7662000000000002e-19,0.56425,0.22157,16.627419364969086
chr1,1420358,1420473,4.0823e-29,0.235685,18,5.0071e-14,1.0799000000000001e-31,0.28899,0.053305,28.389095083020944
chr1,1420477,1420529,7.7168e-11,0.376822,6,4.674e-14,1.2595e-12,0.60036,0.22354,10.112562755422193
chr1,1420539,1420577,7.9878e-06,0.269756,6,5.657e-11,2.7612e-07,0.77628,0.50653,5.097572817610018
chr1,1575768,1575810,0.0072259,0.220766,4,2.2338e-05,0.00043094,0.72922,0.50845,2.1411080529740167
chr1,1539682,1540114,1.4912999999999999e-236,0.611886,22,3.475e-14,2.1084e-60,0.65997,0.048079,235.82643498214134
chr1,1540178,1540799,1.4912999999999999e-236,0.237079,45,3.6304e-14,3.9622e-84,0.24219,0.0051114,235.82643498214134
chr1,1540804,1540944,7.0866e-17,0.474487,11,4.0856e-14,5.5674e-19,0.68983,0.21534,16.149562080106463
chr1,1782560,1782628,5.0433e-22,0.618459,8,4.0967e-14,2.3878e-24,0.6671,0.048642,21.29728519712554
chr1,1599206,1599514,1.4236e-12,0.379709,14,4.3299e-14,1.8522e-14,0.72603,0.34633,11.846612020668191
chr1,1600494,1600673,1.1702e-11,0.334661,9,4.3743e-14,1.7093e-13,0.45739,0.12273,10.931739906225301
chr1,1600728,1601015,1.6684e-05,0.230293,6,1.1588e-09,6.0598e-07,0.8511,0.62081,4.777699818826206
chr1,1909803,1909987,1.4807e-10,0.207292,8,7.3386e-14,2.4937e-12,0.86656,0.65927,9.829532923614062
chr1,1919814,1919877,4.5748e-14,0.445046,8,4.13e-14,4.9346e-16,0.54299,0.097941,13.339627887563651
chr1,2003951,2004011,1.9416e-11,0.225937,10,4.563e-14,2.9196e-13,0.30199,0.076048,10.711840236676121
chr1,1629002,1630127,1.9148e-258,0.671348,38,6.2617e-14,3.8831e-108,0.79295,0.12161,257.71787658119007
chr1,1630254,1631335,1.9148e-258,0.430728,47,3.6748e-14,3.3685999999999996e-65,0.53172,0.10099,257.71787658119007
chr1,1631343,1631931,1.5923e-09,0.201308,18,4.2633e-14,3.1216e-11,0.30237,0.10106,8.797975104895961
chr1,2199194,2199335,5.3334e-08,0.432942,4,2.524e-11,1.3063e-09,0.47446,0.041517,7.272995843416643
chr1,2199366,2199549,1.3493e-05,0.251169,5,4.5599e-09,4.8197e-07,0.27424,0.023074,4.8698914796390635
chr1,2194047,2194259,6.6735e-06,0.303087,6,1.6307e-06,2.2785e-07,0.75036,0.44727,5.175646335196275
chr1,2213080,2213514,1.0359e-13,0.355423,11,4.2855e-14,1.1663e-15,0.69581,0.34039,12.984682166930883
chr1,2229572,2229723,3.4448e-06,0.257674,14,8.3593e-12,1.123e-07,0.5913,0.33363,5.462835987520588
chr1,2205668,2205867,1.6746e-22,0.297355,24,4.6518e-14,7.5545e-25,0.45127,0.15392,21.776088913127726
chr1,2051098,2051452,1.0335e-28,0.41186,23,4.9072e-14,2.7944e-31,0.5814,0.16954,27.985689519036693
chr1,2300710,2300763,0.2339,0.20913,4,0.0097638,0.02258,0.26448,0.055346,0.630969778190847
chr1,2314274,2314548,0.0002285,0.218269,16,3.4406e-09,1.0055e-05,0.54318,0.32491,3.641113795594131
chr1,2322325,2322585,2.4305e-20,0.413458,14,4.4076e-14,1.3474e-22,0.67486,0.26141,19.614304374589437
chr1,2226896,2226918,0.00099065,0.24358,4,1.6168e-05,4.9223e-05,0.6716,0.42802,3.004079756127342
chr1,2467480,2467515,2.285e-08,0.319816,6,2.9021e-13,5.3122e-10,0.45049,0.13068,7.641113795594131
chr1,2444141,2444171,2.2874e-07,0.365702,4,2.9173e-09,6.1963e-09,0.52785,0.16215,6.640657883227632
chr1,2540582,2540693,0.0041789,0.230867,6,6.5576e-05,0.0002363,0.51969,0.28882,2.3789380212870546
chr1,2594082,2594136,0.0038779,0.229344,4,0.0014927,0.0002177,0.44414,0.21479,2.4114033943311006
chr1,2611165,2611313,3.7222e-12,0.273415,9,4.0745e-14,5.0989e-14,0.38284,0.10943,11.429200295213096
chr1,2888002,2888297,1.3364e-17,0.550356,7,4.0967e-14,9.7099e-20,0.80795,0.25759,16.874063533033905
chr1,2888443,2888994,1.5142e-06,0.255195,8,1.1353e-08,4.6603e-08,0.31162,0.056425,5.819816758151773
chr1,3078966,3079089,1.374e-05,0.257952,4,1.0367e-07,4.914e-07,0.44193,0.18397,4.862013267276469
chr1,3080066,3080142,7.0301e-08,0.290215,4,4.3044e-12,1.7585e-09,0.90309,0.61287,7.1530384972932195
chr1,2789681,2789837,1.8415e-14,0.234093,16,3.9968e-14,1.9048e-16,0.2955,0.061407,13.734828276809068
chr1,2789844,2789901,2.576e-14,0.422344,9,4.0967e-14,2.7021e-16,0.53516,0.11282,13.589054141312225
chr1,2790020,2790151,6.8111e-26,0.346227,21,3.7748e-14,2.3098e-28,0.44784,0.10161,25.166782743395355
chr1,2790166,2790311,9.1791e-10,0.243828,14,4.5519e-14,1.7424e-11,0.4281,0.18427,9.037199898776429
chr1,2790312,2790365,0.01066,0.208505,7,3.8724e-05,0.00066193,0.56863,0.36013,1.9722427953094466
chr1,3135609,3135671,7.0089e-05,0.205532,4,6.3671e-08,2.8092e-06,0.87264,0.66711,4.154350136300947
chr1,3070975,3071255,1.3507e-17,0.207072,24,4.452e-14,9.8176e-20,0.29146,0.08439,16.869441100135987
chr1,3168537,3168591,0.00029606,0.33343,5,6.8845e-09,1.331e-05,0.78722,0.45379,3.528620265196835
chr1,3174773,3174851,0.00029874,0.224544,4,5.089e-08,1.3441e-05,0.28046,0.055913,3.524706623340897
chr1,3183335,3183406,2.6548e-10,0.466063,5,4.5519e-14,4.6421e-12,0.8018,0.33574,9.575968191029995
chr1,3173801,3173937,6.3261e-07,0.401268,4,1.9709e-09,1.8326e-08,0.83595,0.43468,6.19886394724405
chr1,3188502,3188636,3.0438e-28,0.377262,11,4.9183e-14,8.570000000000001e-31,0.90858,0.53132,27.516583887298953
chr1,3217854,3218262,0.0012502,0.33734,5,5.3756e-08,6.3315e-05,0.59138,0.25404,2.9030205054332154
chr1,3215789,3215855,2.8278e-20,0.599766,7,4.0634e-14,1.5805999999999998e-22,0.78813,0.18836,19.54855130985672
chr1,3247844,3248663,9.6157e-07,0.329349,8,1.6423e-06,2.8707e-08,0.46266,0.13331,6.017019094673384
chr1,3313791,3314070,2.2285e-08,0.397562,7,4.3965e-14,5.1688e-10,0.72578,0.32822,7.651987361577805
chr1,3323222,3323574,9.1723e-15,0.546843,6,4.0301e-14,9.1745e-17,0.73009,0.18324,14.037521749165183
chr1,3357634,3357697,0.00030868,0.201454,5,1.7286e-07,1.3928e-05,0.80894,0.60748,3.510491508422084
chr1,3364601,3364756,1.2486e-06,0.320534,6,7.2418e-12,3.7958e-08,0.70235,0.38181,5.903576669404729
chr1,3423400,3423616,1.5939e-26,0.611456,9,3.6304e-14,5.110999999999999e-29,0.78421,0.17275,25.7975389293706
chr1,3393298,3394248,1.5038e-37,0.228777,34,2.8866e-14,2.1809e-40,0.25535,0.026577,36.82280991951039
chr1,3538265,3538985,1.8339e-06,0.295949,9,8.3122e-10,5.7163e-08,0.46994,0.17399,5.736624349490557
chr1,3540188,3540448,1.0006e-12,0.370689,9,1.6244e-10,1.2788e-14,0.62257,0.25188,11.99973950145261
chr1,3565372,3565440,0.00023288,0.268815,4,1.6753e-07,1.0264e-05,0.62897,0.36016,3.6328678075692458
chr1,3598297,3598396,3.0166e-13,0.386026,8,4.3965e-14,3.5929e-15,0.65551,0.26948,12.520482273288621
chr1,3708843,3709214,4.3999e-10,0.300195,14,4.2077e-14,7.9372e-12,0.59951,0.29931,9.356557193955112
chr1,3707692,3707899,9.4527e-06,0.232031,8,3.0932e-11,3.303e-07,0.75654,0.52451,5.02444412507598
chr1,3718214,3718401,6.5722e-07,0.279887,11,4.2791e-11,1.9084e-08,0.55745,0.27756,6.182289228929192
chr1,3747046,3747064,3.7357e-06,0.205758,4,8.4525e-10,1.2243e-07,0.21851,0.012751,5.4276280075960965
chr1,3910893,3911315,6.1437e-15,0.248151,11,4.5408e-14,6.0161e-17,0.27136,0.023207,14.21156999927953
