chrom,start,end,q_value,mean_difference,num_CpGs,p_mwu,p_2d_ks,mean_g1,mean_g2,log_q_value
chr1,959746,959769,2.6279e-05,0.224945,4,3.8252e-09,4.5486e-07,0.75584,0.53089,4.580391165091897
chr1,983818,983881,1.0456e-06,-0.206738,4,5.2522e-09,1.3417e-08,0.10832,0.31506,5.980634425427512
chr1,1117245,1117283,0.00028029,-0.237333,4,1.5126e-08,6.1814e-06,0.26434,0.50167,3.5523923964326873
chr1,1140952,1140966,2.5606e-08,0.219078,4,8.2434e-13,2.4352e-10,0.88285,0.66377,7.591658258845345
chr1,1162780,1163052,3.7508e-11,0.205794,6,4.5519e-14,2.2885e-13,0.88274,0.67695,10.425876092664016
chr1,1168692,1169007,1.5846e-05,-0.264991,6,3.2784e-07,2.5981e-07,0.53211,0.7971,4.800080348409432
chr1,1170738,1170834,0.0001456,-0.244108,6,2.9578e-06,2.988e-06,0.62229,0.8664,3.8368386250229816
chr1,1173972,1174313,2.0118e-06,0.28856,8,2.8533e-13,2.7336e-08,0.48735,0.19879,5.6964151961875364
chr1,1182275,1182748,6.0776e-05,-0.216368,9,1.9504e-06,1.1418e-06,0.53221,0.74858,4.216267886603771
chr1,1183348,1183481,0.007443,-0.205695,4,2.7591e-05,0.00024629,0.24919,0.45489,2.1282519810081286
chr1,1200468,1200544,0.004583,-0.241875,4,0.0017802,0.00014168,0.4581,0.69997,2.3388501427552133
chr1,1208349,1208378,9.7631e-11,-0.307073,4,8.3494e-12,6.3656e-13,0.14228,0.44935,10.01041226234056
chr1,1209397,1209726,8.33e-14,-0.476506,6,4.3965e-14,3.6201e-16,0.25605,0.73256,13.079354998593212
chr1,1508849,1509035,0.00024592,-0.269503,4,6.5353e-05,5.3466e-06,0.38929,0.6588,3.60920614984433
chr1,1536067,1536170,0.0046293,-0.204084,6,2.0725e-07,0.00014334,0.68687,0.89095,2.3344846740189094
chr1,1539682,1539976,4.41e-30,0.372527,18,4.9849e-14,4.1411e-33,0.42766,0.055129,29.35556141053216
chr1,1540064,1540114,3.0397e-06,0.211745,4,7.7811e-10,4.2921e-08,0.2281,0.016357,5.517169276514172
chr1,1540804,1540944,1.3074e-05,0.24616,11,4.4221e-10,2.101e-07,0.4615,0.21534,4.883591519370101
chr1,1554019,1554080,0.0071248,-0.279803,5,8.1236e-08,0.0002341,0.56871,0.84851,2.1472273222128524
chr1,1599206,1599374,0.0040895,0.201008,7,1.3336e-07,0.00012472,0.75742,0.55641,2.388329787473121
chr1,1599386,1599465,3.6206e-11,0.301486,6,4.019e-14,2.2066e-13,0.45236,0.15087,10.441219452920764
chr1,1629002,1630330,6.9342e-275,0.334218,48,4.8184e-14,7.345e-51,0.43712,0.1029,274.1590036363393
chr1,1631198,1631319,7.1201e-08,0.227407,10,4.8622e-10,7.3496e-10,0.36579,0.13839,7.147513906764378
chr1,1782082,1782643,6.1082e-06,0.253025,11,1.1515e-09,9.1108e-08,0.37574,0.12271,5.214086751334942
chr1,1920797,1921224,1.0492e-11,-0.416741,8,4.0112e-13,5.9623e-14,0.46557,0.88231,10.979141718081683
chr1,1941958,1942003,0.0077303,-0.242232,4,3.6726e-06,0.00025716,0.66073,0.90296,2.1118036515129295
chr1,1975844,1975911,0.00040335,-0.318251,4,2.081e-07,9.2488e-06,0.39178,0.71003,3.394317938721017
chr1,2025658,2025934,6.6341e-27,-0.2227,13,4.3521e-14,8.2243e-30,0.22111,0.44381,26.17821798637082
chr1,2051098,2051433,1.5029e-16,0.249792,22,3.9302e-14,4.689e-19,0.42385,0.17405,15.823069915549494
chr1,2125877,2126926,2.4168e-06,-0.211647,13,7.0386e-07,3.3343e-08,0.57239,0.78404,5.616759287734776
chr1,2159224,2159487,3.6746e-05,-0.225533,13,7.797e-12,6.5756e-07,0.66768,0.89322,4.434789929300188
chr1,2160745,2160816,3.2319e-08,-0.239344,5,8.8818e-14,3.123e-10,0.69843,0.93778,7.490542085434602
chr1,2233930,2234103,0.00091377,-0.271089,4,1.832e-06,2.3081e-05,0.31004,0.58113,3.039163104376538
chr1,2235374,2235818,0.00016551,-0.311109,6,1.2607e-07,3.4334e-06,0.50112,0.81223,3.7811757613225976
chr1,2312726,2312979,4.7738e-14,-0.443729,7,4.0412e-14,2.0062e-16,0.29422,0.73795,13.32113577986547
chr1,2322344,2322410,1.4141e-07,0.252013,6,5.6307e-07,1.5484e-09,0.41096,0.15894,6.849519877729666
chr1,2415513,2415597,5.1162e-05,-0.224352,5,0.0032997,9.4357e-07,0.45696,0.68131,4.291052486633056
chr1,2505989,2506651,7.0581e-11,-0.32006,11,1.2024e-13,4.5121e-13,0.49879,0.81885,10.151312192796603
chr1,2629371,2629641,0.0067107,0.207238,4,0.0030088,0.00021871,0.49025,0.28301,2.1732321757652575
chr1,2789854,2789868,1.3403e-05,0.370952,4,8.2241e-11,2.1634e-07,0.50168,0.13073,4.872797982409646
