chrom,start,end,q_value,mean_difference,num_CpGs,p_mwu,p_2d_ks,mean_g1,mean_g2,log_q_value
chr1,959746,959769,0.0035285,0.213527,4,7.3074e-06,4.1945e-05,0.74442,0.53089,2.4524098782298474
chr1,1041208,1041263,0.025494,0.223771,4,8.5936e-06,0.00046127,0.77921,0.55544,1.593562018526842
chr1,1041272,1041314,3.6126e-10,0.296615,9,4.2522e-14,5.5035e-13,0.76221,0.46559,9.442180122409209
chr1,1144752,1144986,0.00055335,-0.279777,6,4.0555e-07,4.7275e-06,0.35237,0.63214,3.2570000857175154
chr1,1174159,1174313,0.018192,0.242359,6,6.5375e-05,0.00030352,0.47777,0.23542,1.7401195526563404
chr1,1208349,1208378,0.0013201,-0.247668,4,6.1124e-07,1.3319e-05,0.20168,0.44935,2.879393168943227
chr1,1209397,1209726,0.071055,-0.229129,6,1.708e-05,0.0016595,0.50343,0.73256,1.148405356216362
chr1,1200468,1200544,0.15491,-0.21185,4,0.00011748,0.0045934,0.48812,0.69997,0.8099205460584853
chr1,1355472,1355486,0.013668,0.217776,4,3.2541e-05,0.00021275,0.25882,0.041041,1.8642950298732748
chr1,1508849,1509035,0.00042955,-0.312289,4,7.6105e-06,3.54e-06,0.34651,0.6588,3.366986276628456
chr1,1420482,1420577,6.1198e-06,0.278459,11,4.3165e-13,2.6983e-08,0.65645,0.37799,5.213262770716477
chr1,1765251,1765284,0.0013708,-0.209552,4,2.5712e-07,1.3903e-05,0.60373,0.81328,2.863025904242171
chr1,1782082,1782566,0.39569,0.217653,4,0.00057395,0.016979,0.51388,0.29622,0.4026449252196854
chr1,2205765,2205859,0.00090084,0.228008,10,1.3779e-10,8.4257e-06,0.4488,0.22079,3.0453523380859897
chr1,2312726,2312824,0.0063904,-0.284605,5,1.3639e-05,8.4831e-05,0.4302,0.71481,2.1944719568093913
chr1,2467492,2467530,0.0016006,0.214434,6,1.9406e-05,1.6629e-05,0.34504,0.1306,2.7957171874420603
chr1,2504129,2504144,0.0080498,0.234643,4,2.9531e-07,0.00011227,0.78941,0.55476,2.0942149096911864
chr1,2806128,2806549,0.0096156,-0.214109,4,8.9475e-06,0.00013909,0.32358,0.53769,2.0170236112113398
chr1,2789854,2789868,0.00023466,0.308228,4,4.2585e-07,1.7462e-06,0.43896,0.13073,3.6295609336642256
chr1,2790034,2790085,7.8304e-05,0.211409,9,7.6744e-10,4.931e-07,0.35872,0.14731,4.106216052328305
chr1,3215789,3215855,0.043272,0.209028,7,0.014481,0.00088922,0.39739,0.18836,1.363793031565992
chr1,3247849,3248266,0.0087371,0.215277,6,3.5545e-06,0.00012392,0.3317,0.11642,2.0586326935660626
chr1,3323222,3323574,0.0015483,0.257404,6,2.5803e-08,1.6002e-05,0.44065,0.18324,2.8101448862103857
chr1,3495978,3496022,0.11385,-0.20115,4,0.00023522,0.0030485,0.4535,0.65465,0.9436669650488384
chr1,3718332,3718363,0.0034363,0.247715,4,0.00021234,4.0627e-05,0.59507,0.34736,2.463908927885874
chr1,3773200,3773455,0.0074308,0.228121,6,6.6359e-07,0.0001017,0.60691,0.37879,2.1289644275742305
chr1,3880721,3881371,0.00031514,-0.225296,7,2.3641e-07,2.4576e-06,0.30498,0.53028,3.501496469321242
chr1,6509689,6510268,0.031825,-0.257578,7,1.9324e-07,0.0006055,0.49145,0.74903,1.497231587674307
chr1,6512444,6512815,0.013533,-0.243817,7,0.00023594,0.00021022,0.66696,0.91077,1.8686059181826271
chr1,6587364,6587689,0.068578,0.211184,4,6.6044e-05,0.0015869,0.65924,0.44805,1.1638151847449794
chr1,9730721,9730808,0.028384,-0.299798,4,3.0921e-07,0.0005255,0.27522,0.57501,1.5469264018483677
chr1,10630450,10630913,0.0043686,-0.224345,12,2.6647e-06,5.3916e-05,0.62785,0.85219,2.359657718564759
