chrom,start,end,q_value,mean_difference,num_CpGs,p_mwu,p_2d_ks,mean_g1,mean_g2,log_q_value
chr1,916620,916718,9.6117e-05,0.205577,4,2.4347e-05,3.8795e-06,0.44583,0.24025,4.017199792838781
chr1,935043,936259,9.786e-38,0.293654,30,4.5075e-14,3.5352999999999996e-40,0.50675,0.2131,37.00939478857608
chr1,983835,983890,1.5179e-06,-0.245968,4,7.3078e-09,4.8632e-08,0.26292,0.50889,5.8187568390325906
chr1,1041162,1041314,1.0646e-15,0.202923,19,4.452e-14,1.4343e-17,0.59466,0.39173,14.972813538163264
chr1,1069611,1069644,1.1372e-07,0.213192,5,9.3277e-11,3.1795e-09,0.37355,0.16036,6.944163148981596
chr1,1140952,1140966,2.1458e-13,0.20203,4,4.5519e-14,3.4974e-15,0.8658,0.66377,12.668410759044864
chr1,1168692,1168935,5.074e-06,-0.227718,4,1.9509e-08,1.7239e-07,0.51039,0.73811,5.294649537114288
chr1,1173502,1174344,1.5216000000000001e-24,0.306588,21,3.908e-14,1.0956e-26,0.47281,0.16622,23.81769950040666
chr1,1208349,1208400,1.9105000000000002e-20,-0.315578,5,4.2299e-14,1.7972999999999998e-22,0.073465,0.38904,19.71885295797557
chr1,1209397,1209726,1.4484e-14,-0.380334,6,4.5186e-14,2.1328e-16,0.35222,0.73256,13.839111483855026
chr1,1250932,1251263,0.001664,-0.240165,4,1.8563e-07,8.2111e-05,0.52277,0.76293,2.7788466780452947
chr1,1374259,1374438,8.2133e-09,0.248613,6,1.4809e-12,2.052e-10,0.57123,0.32262,8.085482313789624
chr1,1348229,1348293,0.00050196,0.223943,4,3.186e-08,2.2662e-05,0.53565,0.31171,3.299330889371745
chr1,1430556,1430940,3.6122e-07,0.201721,11,5.4401e-14,1.0729e-08,0.60908,0.40736,6.442228211710764
chr1,1462646,1462843,6.3521e-08,-0.222144,8,3.7503e-09,1.7308e-09,0.52661,0.74876,7.197082673505025
chr1,1508849,1509035,4.1758e-10,-0.313978,4,2.1982e-13,9.1918e-12,0.34482,0.6588,9.379260310048036
chr1,1419853,1420068,8.5671e-23,0.303463,16,4.6074e-14,6.965700000000001e-25,0.52503,0.22157,22.067166163740602
chr1,1599206,1599374,2.8367e-07,0.232512,7,1.1757e-13,8.3182e-09,0.78892,0.55641,6.547186591322146
chr1,1599386,1599465,7.6557e-20,0.384772,6,4.4076e-14,7.514699999999999e-22,0.53564,0.15087,19.116015093373495
chr1,1600494,1600673,2.305e-14,0.281613,9,4.0301e-14,3.4603e-16,0.40434,0.12273,13.637329070274333
chr1,1600719,1600865,4.3084e-08,0.2057,6,4.5408e-14,1.1548e-09,0.83238,0.62668,7.365683982781585
chr1,1765251,1765284,1.6187e-06,-0.240471,4,4.9407e-11,5.2027e-08,0.57281,0.81328,5.790833633283222
chr1,1782082,1782628,2.8035e-13,0.282179,10,3.9746e-14,4.613e-15,0.41633,0.13415,12.552299439565486
chr1,1539682,1539976,0.0,0.497367,18,4.019e-14,4.759900000000001e-78,0.5525,0.055129,inf
chr1,1540811,1540944,2.3743000000000002e-19,0.36859,9,3.5971e-14,2.4215999999999998e-21,0.6223,0.25371,18.6244644074905
chr1,1920797,1921224,1.9287e-07,-0.231994,8,1.3916e-12,5.5441e-09,0.65032,0.88231,6.714735319518846
chr1,1975844,1975911,1.5274e-06,-0.27284,4,2.196e-08,4.8968e-08,0.43719,0.71003,5.8160472137334205
chr1,2025644,2025934,4.2695e-28,-0.253907,15,3.7081e-14,2.4995000000000002e-30,0.20436,0.45827,27.36962298210741
chr1,2046710,2047328,4.6121e-06,0.201348,6,3.2594e-08,1.5607e-07,0.54708,0.34573,5.3361012848601295
chr1,2126766,2126926,3.6617e-11,-0.280365,9,4.341e-14,7.3054e-13,0.46673,0.74709,10.436317239958306
chr1,1629002,1630127,0.0,0.454481,38,4.5852e-14,8.6902e-124,0.57609,0.12161,inf
chr1,1630254,1631388,0.0,0.255369,50,2.9865e-14,3.6537e-64,0.36115,0.10578,inf
chr1,2205716,2205878,5.8985000000000004e-30,0.298604,18,4.3299e-14,3.1321e-32,0.49351,0.19491,29.229258416247227
chr1,2233930,2234103,0.0011687,-0.201089,4,3.088e-06,5.6129e-05,0.38004,0.58113,2.9322969559599343
chr1,2235374,2235424,1.9171e-05,-0.291226,4,4.6119e-11,6.9962e-07,0.49723,0.78845,4.71735523281026
chr1,2312726,2312967,3.1512e-09,-0.300103,6,9.9698e-14,7.5556e-11,0.43295,0.73305,8.501524032198915
chr1,2322325,2322585,1.1295000000000001e-31,0.392787,14,4.0856e-14,5.4916e-34,0.65419,0.26141,30.94711376474362
chr1,2051184,2051422,2.2211999999999998e-37,0.345807,18,4.4742e-14,8.128899999999999e-40,0.52711,0.1813,36.65341233519947
chr1,2467492,2467530,5.1191e-10,0.259232,6,4.452e-14,1.1372e-11,0.38983,0.1306,9.290806386561496
chr1,2505989,2506651,5.7835e-12,-0.243002,11,4.7073e-14,1.0726e-13,0.57585,0.81885,11.237809260081987
chr1,2444141,2444171,9.4576e-06,0.207967,4,3.12e-10,3.3317e-07,0.37011,0.16215,5.024219057995188
chr1,2611156,2611366,3.5897e-15,0.227021,12,3.9524e-14,5.0274e-17,0.3328,0.10577,14.444941844956132
chr1,2888119,2888444,1.8031e-13,0.343573,6,4.3743e-14,2.9263e-15,0.48964,0.14606,12.74398018661988
chr1,2789829,2789868,3.4622e-29,0.352751,10,3.7526e-14,1.913e-31,0.45089,0.098136,28.460647847960466
chr1,2789886,2790365,0.0,0.226517,63,0.0,6.8408e-65,0.35836,0.13184,inf
chr1,3183335,3183406,7.2545e-16,0.43247,5,4.5186e-14,9.6752e-18,0.76821,0.33574,15.139392514959392
chr1,3173801,3173937,6.6173e-07,0.27972,4,9.7815e-11,2.0302e-08,0.7144,0.43468,6.1793191758609884
chr1,3188502,3188636,5.756099999999999e-26,0.250638,11,4.9849e-14,3.8043e-28,0.78196,0.53132,25.239871669726583
